period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,250
1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,253
2,0.5,0.0,92.24586134786142,0.0,0.0,0.0,92.24586134786142,92.24586134786142,92.24586134786142,0,1,0,0,0,0.0,253
3,0.75,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,252
4,1.0,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,250
5,1.25,0.0,119.55647370370488,6.039613253960852e-16,0.0,0.0,119.55647370370488,119.55647370370488,119.55647370370488,0,1,0,0,0,1.7763568394002505e-15,253
6,1.5,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,251
7,1.75,85.18183330259399,0.0,6.039613253960852e-16,0.0,0.0,85.18183330259399,85.18183330259399,85.18183330259399,1,0,0,0,0,1.7763568394002505e-15,251
8,2.0,0.0,0.0,5.506706202140776e-15,0.0,0.0,-5.506706202140776e-15,-5.506706202140776e-15,0.0,0,0,0,0,0,8.881784197001252e-15,253
9,2.25,235.95858909691498,0.0,4.902744876744691e-15,0.0,0.0,235.95858909691498,235.95858909691498,235.95858909691498,3,0,0,0,0,7.105427357601002e-15,253
10,2.5,0.0,0.0,6.7146288529329464e-15,10.0,0.0,-10.000000000000007,-10.000000000000007,0.0,0,0,0,0,1,1.2434497875801753e-14,253
11,2.75,0.0,0.0,6.7146288529329464e-15,0.0,0.0,-6.7146288529329464e-15,-6.7146288529329464e-15,0.0,0,0,0,0,0,1.2434497875801753e-14,250
12,3.0,119.12825323838999,109.05023250332053,6.7146288529329464e-15,0.0,0.0,228.17848574171052,228.17848574171052,228.17848574171052,1,1,0,0,0,1.2434497875801753e-14,254
13,3.25,89.356748247154,100.92699006814378,7.389644451905042e-15,0.0,0.0,190.2837383152978,190.2837383152978,190.2837383152978,1,1,0,0,0,1.0658141036401503e-14,254
14,3.5,56.12000000018399,0.0,9.201528428093297e-15,0.0,0.0,56.120000000183985,56.120000000183985,56.12000000018399,1,0,0,0,0,1.5987211554602254e-14,251
15,3.75,0.0,105.92301645595266,9.201528428093297e-15,0.0,0.0,105.92301645595266,105.92301645595266,105.92301645595266,0,1,0,0,0,1.5987211554602254e-14,251
16,4.0,0.0,0.0,1.165290086646564e-14,10.0,0.0,-10.00000000000001,-10.00000000000001,0.0,0,0,0,0,1,1.9539925233402755e-14,251
17,4.25,0.0,0.0,1.165290086646564e-14,0.0,0.0,-1.165290086646564e-14,-1.165290086646564e-14,0.0,0,0,0,0,0,1.9539925233402755e-14,251
18,4.5,81.71290044714999,0.0,1.165290086646564e-14,0.0,0.0,81.71290044714999,81.71290044714999,81.71290044714999,1,0,0,0,0,1.9539925233402755e-14,253
19,4.75,64.01666666682,0.0,1.4139800441625992e-14,0.0,0.0,64.01666666682,64.01666666682,64.01666666682,1,0,0,0,0,2.3092638912203256e-14,251
20,5.0,0.0,0.0,1.4139800441625992e-14,0.0,0.0,-1.4139800441625992e-14,-1.4139800441625992e-14,0.0,0,0,0,0,0,2.3092638912203256e-14,250
21,5.25,0.0,0.0,1.911359959194669e-14,0.0,0.0,-1.911359959194669e-14,-1.911359959194669e-14,0.0,0,0,0,0,0,3.019806626980426e-14,252
22,5.5,67.546666666468,73.68295652522114,1.911359959194669e-14,0.0,0.0,141.22962319168914,141.22962319168914,141.22962319168914,1,1,0,0,0,3.019806626980426e-14,252
23,5.75,0.0,0.0,1.4139800441625992e-14,0.0,0.0,-1.4139800441625992e-14,-1.4139800441625992e-14,0.0,0,0,0,0,0,2.3092638912203256e-14,251
24,6.0,102.563596221612,0.0,1.589839371263224e-14,0.0,0.0,102.563596221612,102.563596221612,102.563596221612,1,0,0,0,0,2.3092638912203256e-14,252
25,6.25,0.0,0.0,1.8349766151004587e-14,0.0,0.0,-1.8349766151004587e-14,-1.8349766151004587e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,250
26,6.5,0.0,0.0,1.8349766151004587e-14,0.0,0.0,-1.8349766151004587e-14,-1.8349766151004587e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,250
27,6.75,0.0,0.0,1.8349766151004587e-14,0.0,0.0,-1.8349766151004587e-14,-1.8349766151004587e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,251
28,7.0,0.0,0.0,1.8349766151004587e-14,10.0,0.0,-10.000000000000016,-10.000000000000016,0.0,0,0,0,0,1,2.6645352591003757e-14,255
29,7.25,0.0,226.91110203788656,1.8349766151004587e-14,0.0,0.0,226.91110203788656,226.91110203788656,226.91110203788656,0,2,0,0,0,2.6645352591003757e-14,255
30,7.5,0.0,106.99369080145743,2.065903004222491e-14,0.0,0.0,106.99369080145743,106.99369080145743,106.99369080145743,0,1,0,0,0,3.019806626980426e-14,254
31,7.75,0.0,0.0,1.4779288903810084e-14,0.0,0.0,-1.4779288903810084e-14,-1.4779288903810084e-14,0.0,0,0,0,0,0,2.1316282072803006e-14,251
32,8.0,161.943449387853,97.85638104643255,1.4779288903810084e-14,0.0,0.0,259.7998304342856,259.7998304342856,259.7998304342856,2,1,0,0,0,2.1316282072803006e-14,253
33,8.25,64.49203636536,0.0,2.364330953241733e-14,0.0,0.0,64.49203636536,64.49203636536,64.49203636536,1,0,0,0,0,3.019806626980426e-14,253
34,8.5,0.0,0.0,2.0161650127192842e-14,10.0,0.0,-10.000000000000018,-10.000000000000018,0.0,0,0,0,0,1,2.6645352591003757e-14,254
35,8.75,0.0,278.9971691905307,1.4779288903810084e-14,0.0,0.0,278.9971691905307,278.9971691905307,278.9971691905307,0,2,0,0,0,2.1316282072803006e-14,255
36,9.0,132.66010873379,0.0,2.1742607714259066e-14,10.0,0.0,122.66010873379,122.66010873379,132.66010873379,1,0,0,0,1,2.842170943040401e-14,261
37,9.25,105.22144123134001,218.25100317562993,1.4779288903810084e-14,0.0,0.0,323.47244440696994,323.47244440696994,323.47244440696994,1,2,0,0,0,2.1316282072803006e-14,265
38,9.5,177.97900125676,403.8542495384515,1.2327916465437737e-14,10.0,0.0,571.8332507952115,571.8332507952115,581.8332507952115,2,3,0,0,1,1.7763568394002505e-14,260
39,9.75,89.99971444558,246.26683557140692,2.6929569685307797e-14,0.0,0.0,336.2665500169869,336.2665500169869,336.2665500169869,1,2,0,0,0,3.552713678800501e-14,259
40,10.0,0.0,513.750997345757,3.5207392556912965e-14,10.0,0.0,503.750997345757,503.750997345757,513.750997345757,0,4,0,0,1,6.750155989720952e-14,263
41,10.25,159.915081222598,0.0,2.5153212845907547e-14,0.0,0.0,159.915081222598,159.915081222598,159.915081222598,2,0,0,0,0,5.3290705182007514e-14,257
42,10.5,164.26600933502402,82.31600961745646,2.7426949600339866e-14,20.0,0.0,226.5820189524805,226.5820189524805,246.5820189524805,2,1,0,0,2,5.3290705182007514e-14,260
43,10.75,258.744300789576,291.5149058338179,2.97895041967422e-14,0.0,0.0,550.2592066233939,550.2592066233939,550.259206623394,3,3,0,0,0,5.1514348342607263e-14,265
44,11.0,113.340175487712,358.3857120979767,2.025046796916286e-14,0.0,0.0,471.7258875856887,471.7258875856887,471.7258875856887,1,4,0,0,0,3.907985046680551e-14,268
45,11.25,447.1937959737879,510.0874949200773,2.1671553440683058e-14,0.0,0.0,957.2812908938653,957.2812908938653,957.2812908938652,6,6,0,0,0,3.907985046680551e-14,272
46,11.5,64.25963575851,358.4413421090704,10.050000000000079,0.0,0.0,412.6509778675803,412.6509778675803,422.7009778675804,1,4,0,0,0,15.000000000000117,268
47,11.75,514.6217560493728,606.0626904395294,4.074225843262122,0.0,0.0,1116.61022064564,1116.61022064564,1120.6844464889023,6,6,0,0,0,6.080934094421077,268
48,12.0,66.31801265725998,147.15457594206438,20.400000000000034,50.0,0.0,143.07258859932438,143.07258859932438,213.47258859932435,1,2,0,1,5,60.00000000000007,270
49,12.25,70.60344780316099,353.34088031107626,21.310709226606345,0.0,0.0,402.63361888763086,402.63361888763086,423.94432811423724,1,5,0,1,0,62.67855654884217,270
50,12.5,129.57274088186898,358.3478772416586,21.89393528826318,20.0,0.0,446.02668283526435,446.02668283526435,487.92061812352756,2,4,0,0,2,64.39392731842108,268
51,12.75,397.970767311409,126.93815013664167,17.00712119084212,0.0,0.0,507.90179625720856,507.90179625720856,524.9089174480507,7,2,0,0,0,50.02094467894739,263
52,13.0,128.29056897639703,84.276395975677,15.300000000000027,30.0,0.0,167.26696495207406,167.26696495207406,212.56696495207404,3,1,0,2,3,45.00000000000007,266
53,13.25,104.63897065664898,203.95958833080942,10.20000000000001,0.0,0.0,298.3985589874584,298.3985589874584,308.59855898745843,2,2,0,0,0,30.000000000000036,264
54,13.5,194.74198547304002,419.2069822344216,13.171361047821073,10.0,0.0,590.7776066596406,590.7776066596406,613.9489677074616,4,5,0,0,1,53.739297199473725,275
55,13.75,0.0,107.10983714598585,23.85000000000002,0.0,0.0,83.25983714598586,83.25983714598586,107.10983714598585,0,1,0,0,0,90.00000000000003,265
56,14.0,447.52713689003093,617.2068071875711,17.12927368475371,20.0,1000.0,27.604670392848448,27.604670392848448,1064.733944077602,7,6,1,0,2,52.27371611010528,279
57,14.25,393.19484519957194,201.68364971196968,19.186842105309502,0.0,0.0,575.6916528062321,575.6916528062321,594.8784949115416,5,2,0,1,0,58.59649122821056,271
58,14.5,357.17801078506005,528.9715908419178,18.948245614080022,20.0,0.0,847.2013560128976,847.2013560128976,886.1496016269778,5,5,0,1,2,57.807017544000026,273
59,14.75,189.114836238522,86.36761962600661,14.700000000000024,0.0,0.0,260.78245586452863,260.78245586452863,275.4824558645286,2,1,0,0,0,45.00000000000004,267
60,15.0,656.411390531727,399.3966428326235,20.01754385974742,10.0,1000.0,25.7904895046031,25.7904895046031,1055.8080333643504,8,4,1,0,1,28.596491228210603,281
61,15.25,538.631651657051,593.7692560196758,9.517543859747397,0.0,0.0,1122.8833638169795,1122.8833638169795,1132.4009076767268,5,5,0,1,0,13.59649122821057,271
