station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2631.1479814177933,1.8507861909711227e-13,0.0,0.0,2631.1479814177933,2631.1479814177933,2631.1479814177933,0,22,0,4,0,2.362554596402333e-13,2604
1,1135.8479600255482,881.9696061553536,1.784883352229372e-13,0.0,0.0,2017.8175661809018,2017.8175661809018,2017.8175661809018,14,6,0,0,0,2.0605739337042905e-13,2592
2,1791.1408642297188,960.5994710583087,2.895934720135388e-12,0.0,35000.0,-32248.259664711975,-32248.259664711975,2751.7403352880274,14,8,35,5,0,2.455049808703087e-12,2676
3,578.1822033433501,627.2084488267126,30.231578947382573,0.0,14000.0,-12824.84092677732,-12824.84092677732,1205.3906521700628,10,10,14,4,0,100.70175438601032,2164
4,2250.3239225634898,674.2760144339227,462.29491053059496,0.0,0.0,2462.3050264668173,2462.3050264668173,2924.5999369974124,25,5,0,0,0,471.06837022865744,2380
5,269.875084317605,1597.5855378934145,3.70015129647072e-13,0.0,0.0,1867.4606222110197,1867.4606222110197,1867.4606222110197,2,13,0,0,0,4.636291350834654e-13,2930
6,2582.6064466378466,474.31493338830586,349.29297217614715,0.0,8000.0,-5292.371592149994,-5292.371592149994,3056.9213800261523,25,4,8,3,0,292.9524768134561,2748
7,1165.8582527382348,644.9438902230274,75.61418535435608,0.0,18000.0,-16264.812042393092,-16264.812042393092,1810.8021429612622,15,9,18,17,0,186.05310116210563,2438
8,1083.1445973357609,2287.3771088369326,254.4657894735824,0.0,13000.0,-9883.944083300888,-9883.944083300888,3370.5217061726935,11,23,13,12,0,234.3859649122109,3366
9,1576.8414271331917,2049.40891549952,167.6580073444023,0.0,28000.0,-24541.40766471169,-24541.40766471169,3626.2503426327116,18,18,28,11,0,425.6817751071583,3398
10,639.6641515325041,1943.9043138250138,3.828226624591475e-13,0.0,6000.0,-3416.431534642482,-3416.431534642482,2583.568465357518,5,17,6,9,0,4.867217739956686e-13,2626
