station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2811.3566752499387,126.84200840940937,0.0,0.0,2684.5146668405305,2684.5146668405305,2811.3566752499387,0,24,0,2,0,148.96990151550176,2868
1,1529.2387128063872,1690.5741735722722,357.7564605775162,0.0,0.0,2862.0564258011477,2862.0564258011477,3219.8128863786596,18,12,0,0,0,395.97817792191904,2876
2,2792.752822996332,1311.8163668741634,872.814850092652,0.0,31000.0,-27768.245660222154,-27768.245660222154,4104.569189870495,27,12,31,13,0,1133.0377019180137,2982
3,1150.249592874567,977.0708239631356,405.3267770835394,0.0,20000.0,-18278.00636024584,-18278.00636024584,2127.3204168377024,15,13,20,3,0,530.031984714293,2406
4,2192.6929751373204,543.0072679134071,209.5045070716759,0.0,0.0,2526.1957359790513,2526.1957359790513,2735.7002430507273,22,4,0,0,0,291.36358153095944,2612
5,1405.7681677821022,1830.3419228258256,1.7031133553618086e-11,0.0,0.0,3236.1100906079096,3236.1100906079096,3236.1100906079278,10,15,0,1,0,1.6054208165513753e-11,3252
6,2694.1553685139897,628.9362104532795,405.6539001150696,0.0,0.0,2917.437678852203,2917.437678852203,3323.091578967269,27,6,0,0,0,531.4282305255099,3010
7,1932.333262570303,605.0736467905249,214.6592903023972,0.0,19000.0,-16677.25238094157,-16677.25238094157,2537.4069093608277,24,7,19,15,0,606.0187851079585,2690
8,1165.338835852259,2698.2133952838426,552.8178095224239,0.0,5000.0,-1689.2655783863215,-1689.2655783863215,3863.552231136102,16,25,5,3,0,538.9116982920102,3682
9,4899.845016852477,1155.7412290980194,1644.6052346221356,0.0,7000.0,-2589.018988671646,-2589.018988671646,6055.586245950496,50,9,7,7,0,1806.2818211923611,3730
10,84.80000000016003,2587.5900593774486,86.28771929842398,0.0,2000.0,586.1023400791846,586.1023400791846,2672.390059377609,2,22,2,7,0,74.38596491244411,2882
