period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,253
1,0.25,0.0,126.70182559547729,0.0,0.0,0.0,126.70182559547729,126.70182559547729,126.70182559547729,0,2,0,0,0,0.0,254
2,0.5,0.0,118.6372337163522,0.0,0.0,0.0,118.6372337163522,118.6372337163522,118.6372337163522,0,1,0,0,0,0.0,251
3,0.75,0.0,68.5641117517597,1.2256862191861727e-15,0.0,0.0,68.5641117517597,68.5641117517597,68.5641117517597,0,1,0,0,0,1.7763568394002505e-15,251
4,1.0,0.0,0.0,1.2256862191861727e-15,0.0,0.0,-1.2256862191861727e-15,-1.2256862191861727e-15,0.0,0,0,0,0,0,1.7763568394002505e-15,250
5,1.25,0.0,0.0,1.2256862191861727e-15,0.0,0.0,-1.2256862191861727e-15,-1.2256862191861727e-15,0.0,0,0,0,0,0,1.7763568394002505e-15,250
6,1.5,0.0,0.0,1.2256862191861727e-15,0.0,0.0,-1.2256862191861727e-15,-1.2256862191861727e-15,0.0,0,0,0,0,0,1.7763568394002505e-15,253
7,1.75,0.0,0.0,1.1013412404281553e-15,0.0,0.0,-1.1013412404281553e-15,-1.1013412404281553e-15,0.0,0,0,0,0,0,3.552713678800501e-15,251
8,2.0,0.0,112.21830211949752,1.1013412404281553e-15,0.0,0.0,112.21830211949752,112.21830211949752,112.21830211949752,0,1,0,0,0,3.552713678800501e-15,251
9,2.25,0.0,0.0,2.3270274596143282e-15,0.0,0.0,-2.3270274596143282e-15,-2.3270274596143282e-15,0.0,0,0,0,0,0,5.329070518200751e-15,250
10,2.5,0.0,0.0,2.3270274596143282e-15,0.0,0.0,-2.3270274596143282e-15,-2.3270274596143282e-15,0.0,0,0,0,0,0,5.329070518200751e-15,252
11,2.75,176.218310734132,0.0,1.2256862191861727e-15,0.0,0.0,176.218310734132,176.218310734132,176.218310734132,2,0,0,0,0,1.7763568394002505e-15,253
