station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2698.337264674391,1.2072121080564116e-13,0.0,0.0,2698.337264674391,2698.337264674391,2698.337264674391,0,22,0,12,0,1.7053025658242404e-13,2422
1,958.5681503006069,1001.263941823362,1.2384759884298537e-12,0.0,0.0,1959.8320921239692,1959.8320921239692,1959.8320921239688,10,7,0,0,0,1.5987211554602254e-12,2388
2,1321.890930794194,1099.6463176750879,68.97631564869124,0.0,31000.0,-28647.43906717941,-28647.43906717941,2421.5372484692816,13,11,31,8,0,84.21052647539848,2480
3,698.252889882207,651.2670853925582,32.26842105241507,0.0,16000.0,-14682.74844577765,-14682.74844577765,1349.5199752747653,11,9,16,4,0,84.21052631536895,2006
4,1010.708978207163,986.1215635712788,4.4755310568689303e-13,0.0,10000.0,-8003.169458221558,-8003.169458221558,1996.8305417784418,11,9,10,0,0,6.714628852932947e-13,2200
5,159.26916444621602,969.2458048329852,8.579803534303209e-14,0.0,0.0,1128.5149692792013,1128.5149692792013,1128.5149692792013,1,9,0,0,0,1.2256862191861728e-13,2695
6,2557.3692442049987,424.41832029944396,201.56578947413374,0.0,0.0,2780.2217750303103,2780.2217750303103,2981.787564504443,24,4,0,0,0,214.03508771989488,2517
7,1440.0138907196158,734.2539231390843,221.94473684223172,0.0,14000.0,-12047.67692298353,-12047.67692298353,2174.2678138587003,20,8,14,5,0,336.84210526326353,2234
8,1461.684494520754,1764.3494398283874,254.12368420996927,0.0,12000.0,-9028.089749860826,-9028.089749860826,3226.0339343491414,17,18,12,13,0,262.807017543157,3116
9,1684.318636668848,1117.4437325026408,2.772715390619854e-13,0.0,30000.0,-27198.23763082851,-27198.23763082851,2801.762369171489,18,10,30,23,0,4.2454928461665986e-13,3158
10,663.886288428976,2014.4607480736258,24.919298245590713,0.0,7000.0,-4346.572261742989,-4346.572261742989,2678.347036502602,6,17,7,11,0,37.192982456105426,2436
