station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2698.337264674391,1.3077539051664655e-13,0.0,0.0,2698.337264674391,2698.337264674391,2698.337264674391,0,22,0,12,0,1.8829382497642655e-13,2598
1,958.5681503002329,1001.263941823362,1.4328449537970284e-12,0.0,0.0,1959.8320921235954,1959.8320921235954,1959.832092123595,10,7,0,0,0,1.7994494783124537e-12,2564
2,1398.329481842638,1099.6463176750879,110.41578947368359,0.0,37000.0,-34612.43998995596,-34612.43998995596,2497.975799517726,14,11,37,8,0,126.31578947357923,2670
3,757.861399299743,734.5529898057771,79.5938596491634,0.0,18000.0,-16587.179470543644,-16587.179470543644,1492.41438910552,12,10,18,3,0,201.40350877189528,2156
4,2108.3153432377812,986.1215635712788,498.2819256154458,0.0,0.0,2596.1549811936125,2596.1549811936125,3094.43690680906,21,9,0,0,0,500.02614123210594,2360
5,310.41999999994204,969.2458048329852,6.303935151663617e-13,0.0,0.0,1279.6658048329273,1279.6658048329273,1279.6658048329273,3,9,0,0,0,7.993605777301127e-13,2899
6,2829.662577538471,424.41832029944396,273.61686583206966,0.0,0.0,2980.4640320058465,2980.4640320058465,3254.080897837915,25,4,0,0,0,285.09125066715814,2703
7,1331.396014907535,831.2315250988826,211.93876924137817,0.0,14000.0,-12049.31122923496,-12049.31122923496,2162.6275400064173,19,9,14,4,0,347.99669073878323,2392
8,1178.527439859095,2292.7746833592582,390.9078943332001,0.0,12000.0,-8919.605771114846,-8919.605771114846,3471.3021232183532,16,22,12,9,0,379.9999999991579,3338
9,2221.8016201769447,1026.769601641602,132.74605542793026,0.0,26000.0,-22884.17483360938,-22884.17483360938,3248.5712218185467,25,9,26,24,0,332.3988010123941,3388
10,821.7948827273759,1929.2824242922338,24.919298245590703,0.0,6000.0,-3273.8419912259815,-3273.8419912259815,2751.0773070196096,7,16,6,12,0,37.19298245610541,2612
