period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,250
1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,253
2,0.5,0.0,92.24586134786142,0.0,0.0,0.0,92.24586134786142,92.24586134786142,92.24586134786142,0,1,0,0,0,0.0,253
3,0.75,0.0,0.0,2.415845301584341e-15,0.0,0.0,-2.415845301584341e-15,-2.415845301584341e-15,0.0,0,0,0,0,0,7.105427357601002e-15,252
4,1.0,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,250
5,1.25,0.0,119.55647370370488,3.659295089164516e-15,0.0,0.0,119.55647370370488,119.55647370370488,119.55647370370488,0,1,0,0,0,8.881784197001252e-15,253
6,1.5,85.18183330259399,0.0,4.902744876744691e-15,10.0,0.0,75.18183330259399,75.18183330259399,85.18183330259399,1,0,0,0,1,1.0658141036401503e-14,253
7,1.75,0.0,0.0,9.201528428093297e-15,0.0,0.0,-9.201528428093297e-15,-9.201528428093297e-15,0.0,0,0,0,0,0,1.5987211554602254e-14,250
8,2.0,0.0,0.0,9.805489753489383e-15,20.0,0.0,-20.00000000000001,-20.00000000000001,0.0,0,0,0,0,2,1.7763568394002505e-14,255
9,2.25,235.95858909691498,0.0,7.389644451905042e-15,0.0,0.0,235.95858909691498,235.95858909691498,235.95858909691498,3,0,0,0,0,1.0658141036401503e-14,253
10,2.5,0.0,0.0,7.318590178329032e-15,10.0,0.0,-10.000000000000007,-10.000000000000007,0.0,0,0,0,0,1,1.4210854715202004e-14,253
11,2.75,0.0,0.0,7.318590178329032e-15,0.0,0.0,-7.318590178329032e-15,-7.318590178329032e-15,0.0,0,0,0,0,0,1.4210854715202004e-14,250
12,3.0,119.12825323838999,109.05023250332053,6.7146288529329464e-15,20.0,0.0,208.17848574171052,208.17848574171052,228.17848574171052,1,1,0,0,2,1.2434497875801753e-14,256
13,3.25,89.356748247154,0.0,1.538325022920617e-14,0.0,0.0,89.356748247154,89.356748247154,89.356748247154,1,0,0,0,0,2.3092638912203256e-14,252
14,3.5,0.0,100.92699006814378,1.7195134205394424e-14,10.0,0.0,90.92699006814378,90.92699006814378,100.92699006814378,0,1,0,0,1,2.842170943040401e-14,252
15,3.75,0.0,105.92301645595266,1.7195134205394424e-14,0.0,0.0,105.92301645595266,105.92301645595266,105.92301645595266,0,1,0,0,0,2.842170943040401e-14,253
16,4.0,98.439999999816,0.0,2.7000623958883806e-14,0.0,0.0,98.439999999816,98.439999999816,98.439999999816,2,0,0,0,0,4.263256414560601e-14,252
17,4.25,0.0,0.0,2.7000623958883806e-14,0.0,0.0,-2.7000623958883806e-14,-2.7000623958883806e-14,0.0,0,0,0,0,0,4.263256414560601e-14,251
18,4.5,81.71290044714999,0.0,2.7000623958883806e-14,10.0,0.0,71.71290044714999,71.71290044714999,81.71290044714999,1,0,0,0,1,4.263256414560601e-14,253
19,4.75,0.0,0.0,3.4461322684364856e-14,0.0,0.0,-3.4461322684364856e-14,-3.4461322684364856e-14,0.0,0,0,0,0,0,5.3290705182007514e-14,252
20,5.0,33.213333333208,0.0,3.4461322684364856e-14,0.0,0.0,33.21333333320796,33.21333333320796,33.213333333208,1,0,0,0,0,5.3290705182007514e-14,251
21,5.25,128.140000000149,0.0,3.8085090636741366e-14,0.0,0.0,128.140000000149,128.140000000149,128.140000000149,1,0,0,0,0,6.394884621840902e-14,252
22,5.5,0.0,0.0,3.197442310920451e-14,0.0,0.0,-3.197442310920451e-14,-3.197442310920451e-14,0.0,0,0,0,0,0,4.973799150320701e-14,250
23,5.75,0.0,73.68295652522114,2.646771690706373e-14,0.0,0.0,73.68295652522114,73.68295652522114,73.68295652522114,0,1,0,0,0,4.085620730620576e-14,252
24,6.0,102.563596221612,0.0,2.930988785010413e-14,10.0,0.0,92.563596221612,92.563596221612,102.563596221612,1,0,0,0,1,4.263256414560601e-14,254
25,6.25,142.543333333234,0.0,3.421263272684882e-14,0.0,0.0,142.543333333234,142.543333333234,142.543333333234,1,0,0,0,0,4.973799150320701e-14,251
26,6.5,0.0,0.0,3.2542857297812595e-14,0.0,0.0,-3.2542857297812595e-14,-3.2542857297812595e-14,0.0,0,0,0,0,0,4.707345624410664e-14,250
27,6.75,0.0,0.0,3.856470698337943e-14,0.0,0.0,-3.856470698337943e-14,-3.856470698337943e-14,0.0,0,0,0,0,0,5.595524044110789e-14,251
28,7.0,0.0,0.0,3.856470698337943e-14,0.0,0.0,-3.856470698337943e-14,-3.856470698337943e-14,0.0,0,0,0,0,0,5.595524044110789e-14,254
29,7.25,0.0,226.91110203788656,3.856470698337943e-14,0.0,0.0,226.91110203788656,226.91110203788656,226.91110203788656,0,2,0,0,0,5.595524044110789e-14,255
30,7.5,0.0,106.99369080145743,3.481659405224491e-14,10.0,0.0,96.99369080145743,96.99369080145743,106.99369080145743,0,1,0,0,1,5.062616992290714e-14,256
31,7.75,56.120000000321994,0.0,5.126565838509123e-14,0.0,0.0,56.12000000032196,56.12000000032196,56.120000000321994,1,0,0,0,0,7.549516567451064e-14,252
32,8.0,226.435485753213,97.85638104643255,8.208544954868558e-14,10.0,0.0,314.29186679964545,314.29186679964545,324.2918667996455,3,1,0,0,1,9.50350909079134e-14,255
33,8.25,0.0,0.0,4.40003589119442e-14,0.0,0.0,-4.40003589119442e-14,-4.40003589119442e-14,0.0,0,0,0,0,0,5.773159728050814e-14,252
34,8.5,0.0,0.0,5.46940270851337e-14,0.0,0.0,-5.46940270851337e-14,-5.46940270851337e-14,0.0,0,0,0,0,0,7.194245199571014e-14,253
35,8.75,0.0,278.9971691905307,5.289990667733945e-14,0.0,0.0,278.9971691905307,278.9971691905307,278.9971691905307,0,2,0,0,0,7.016609515630989e-14,255
36,9.0,132.66010873379,0.0,4.712674694928864e-14,20.0,0.0,112.66010873379,112.66010873379,132.66010873379,1,0,0,0,2,5.861977570020827e-14,261
37,9.25,0.0,386.0873438627392,6.110667527536861e-14,0.0,0.0,386.0873438627392,386.0873438627392,386.0873438627392,0,3,0,0,0,7.72715225139109e-14,265
38,9.5,177.97900125676,257.9665746603253,6.931344387339778e-14,40.0,0.0,395.94557591708525,395.94557591708525,435.9455759170853,2,2,0,0,4,8.348877145181177e-14,263
39,9.75,149.599714445282,224.3181697624238,5.4161120033313634e-14,0.0,0.0,373.9178842077058,373.9178842077058,373.9178842077058,2,2,0,0,0,6.217248937900877e-14,260
40,10.0,0.0,368.4672305503266,4.384936858059519e-14,20.0,0.0,348.4672305503266,348.4672305503266,368.4672305503266,0,3,0,0,2,9.325873406851315e-14,263
41,10.25,159.915081222598,145.28376679543035,5.2828852403763446e-14,0.0,0.0,305.19884801802834,305.19884801802834,305.19884801802834,2,1,0,0,0,9.947598300641403e-14,259
42,10.5,200.28934266839104,82.31600961745646,6.927791673660977e-14,20.0,0.0,262.6053522858475,262.6053522858475,282.6053522858475,3,1,0,0,2,1.1013412404281553e-13,262
43,10.75,429.866106613688,291.5149058338179,4.995115432393505e-14,0.0,0.0,721.3810124475059,721.3810124475059,721.3810124475059,4,3,0,0,0,8.526512829121202e-14,267
44,11.0,237.127537215952,299.5680419734755,3.441691376337986e-14,60.0,0.0,476.69557918942746,476.69557918942746,536.6955791894275,3,3,0,0,6,9.325873406851315e-14,276
45,11.25,381.64976757928997,700.8962097011785,5.5022653100422773e-14,0.0,0.0,1082.5459772804684,1082.5459772804684,1082.5459772804684,5,8,0,0,0,1.1457501614131615e-13,272
46,11.5,346.88301159658494,321.7059696287106,5.175415651592631e-14,70.0,0.0,598.5889812252955,598.5889812252955,668.5889812252956,5,4,0,0,7,1.4299672557172016e-13,279
47,11.75,264.41916741356397,630.9939562648954,1.794632887724282,0.0,0.0,893.618490790735,893.618490790735,895.4131236784593,3,6,0,0,0,2.678556548842267,267
48,12.0,94.64333333357199,236.4047848613157,40.80000000000007,20.0,0.0,270.2481181948875,270.2481181948875,331.0481181948877,2,3,0,0,2,120.00000000000014,268
49,12.25,70.60344780316099,353.34088031107626,37.291003066685334,0.0,0.0,386.65332504755185,386.65332504755185,423.94432811423724,1,5,0,0,0,109.67942078436857,272
50,12.5,279.39568030902996,285.87477846926,34.070624824585416,60.0,0.0,471.1998339537045,471.1998339537045,565.2704587782899,6,3,0,0,6,105.50183771936887,274
51,12.75,413.094452269032,199.41124890904027,47.130610069263234,0.0,0.0,565.3750911088092,565.3750911088092,612.5057011780723,5,3,0,0,0,159.7959119684212,264
52,13.0,252.663902310141,241.0778739751053,65.87403023249456,30.0,0.0,397.8677460527517,397.8677460527517,493.74177628524626,5,3,0,0,3,227.1605207661667,269
53,13.25,177.875637322868,203.95958833080942,53.413154296002176,0.0,0.0,328.42207135767507,328.42207135767507,381.8352256536774,4,2,0,0,0,183.7522947917986,266
54,13.5,150.460907873278,197.43975489998542,69.12387310281267,60.0,0.0,218.77678967045082,218.77678967045082,347.90066277326343,3,2,0,0,6,254.8812413764212,275
55,13.75,0.0,328.877064480422,83.41459929856423,0.0,0.0,245.46246518185765,245.46246518185765,328.877064480422,0,4,0,0,0,319.8390876832084,270
56,14.0,748.1696309350668,617.2068071875711,126.7721326413697,50.0,0.0,1188.6043054812687,1188.6043054812687,1365.3764381226379,10,6,0,0,5,273.8128186582109,284
57,14.25,349.28488498468994,284.1380240924017,138.3010234611706,0.0,0.0,495.12188561592166,495.12188561592166,633.4229090770916,4,3,0,0,0,310.0853191223159,270
58,14.5,325.574300269744,722.3226213689782,144.2943749067365,80.0,0.0,823.602546731986,823.602546731986,1047.8969216387222,5,7,0,0,8,343.9146547222192,280
59,14.75,408.47152931787195,0.0,174.02742177426853,0.0,0.0,234.44410754360342,234.44410754360342,408.47152931787195,5,0,0,0,0,404.5008919084212,270
60,15.0,443.95035594220803,209.88655522872125,211.3500922992918,20.0,0.0,422.48681887163764,422.48681887163764,653.8369111709293,5,2,0,0,2,310.1333507635791,277
61,15.25,917.16128716633,1004.9158038995706,201.42168679522482,0.0,0.0,1720.655404270677,1720.655404270677,1922.0770910659007,9,9,0,0,0,297.27585196651785,280
