station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,3453.39177962297,468.9404743724382,0.0,0.0,2984.451305250535,2984.451305250535,3453.39177962297,0,29,0,5,0,564.5098958107372,3236
1,1634.334816966423,1001.263941823362,40.569319308648055,0.0,0.0,2595.0294394811385,2595.0294394811385,2635.598758789785,17,7,0,0,0,79.71729446240963,3216
2,6251.086675099907,1405.9717996182453,2592.6932131752087,0.0,0.0,5064.365261542944,5064.365261542944,7657.058474718152,57,13,0,6,0,3082.3869462020934,3320
3,3910.204426424797,1055.2466105412475,2183.246740882136,0.0,0.0,2782.2042960839085,2782.2042960839085,4965.451036966045,44,13,0,0,0,2534.6067754732635,2706
4,2700.0595121263405,986.1215635712788,669.8995803308741,0.0,0.0,3016.281495366745,3016.281495366745,3686.1810756976192,25,9,0,0,0,789.3269203629748,2948
5,1441.182497779978,969.2458048329852,6.649081285559069e-13,0.0,0.0,2410.4283026129638,2410.4283026129638,2410.4283026129633,12,9,0,0,0,8.029132914089132e-13,3642
6,3232.537646150796,424.41832029944396,523.2018209509274,0.0,0.0,3133.7541454993157,3133.7541454993157,3656.95596645024,33,4,0,0,0,677.5312431780817,3386
7,4904.4642249924555,1214.8108800921798,2313.856996434719,0.0,0.0,3805.418108649923,3805.418108649923,6119.2751050846355,51,12,0,1,0,2846.6512924236276,3008
8,3091.1570500611965,2845.122884968908,1710.6591026270664,0.0,0.0,4225.620832403037,4225.620832403037,5936.279935030105,37,26,0,5,0,1937.4890987127894,4168
9,6719.844100294463,3710.934528289891,3923.53674529949,0.0,0.0,6507.241883284928,6507.241883284928,10430.778628584354,65,31,0,2,0,5015.095996492467,4228
10,1497.1530567738503,3056.8247643141067,1079.091037143347,0.0,0.0,3474.8867839445993,3474.8867839445993,4553.977821087957,25,26,0,2,0,1523.398729937966,3274
