station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2631.1479814177933,1.4356515976032836e-13,0.0,0.0,2631.1479814177933,2631.1479814177933,2631.1479814177933,0,22,0,4,0,1.8118839761882555e-13,2406
1,1014.921293358445,881.9696061553536,6.72883970764815e-14,0.0,0.0,1896.8908995137988,1896.8908995137988,1896.8908995137986,13,6,0,0,0,7.105427357601002e-14,2392
2,1587.577050136919,1133.71193939704,4.554578936222241e-14,0.0,29000.0,-26278.711010466042,-26278.711010466042,2721.288989533959,13,9,29,4,0,9.237055564881302e-14,2464
3,467.9040876480541,627.2084488267125,12.394736842139928,0.0,15000.0,-13917.282200367374,-13917.282200367374,1095.1125364747666,9,10,15,4,0,42.105263157999644,2002
4,1366.785621431497,674.2760144339227,48.51993104665008,0.0,9000.0,-7007.45829518123,-7007.45829518123,2041.0616358654197,16,5,9,0,0,41.398317924105974,2200
5,387.674568846257,1597.5855378934145,2.4991564373522164e-13,0.0,0.0,1985.2601067396718,1985.2601067396718,1985.2601067396715,3,13,0,0,0,3.126388037344441e-13,2707
6,2031.8616746207967,305.8770793783974,51.368421052673725,0.0,10000.0,-7713.629667053479,-7713.629667053479,2337.738753999194,21,3,10,4,0,42.80701754389485,2537
7,864.922014594099,754.0770723529752,19.0236842104928,0.0,20000.0,-18400.02459726342,-18400.02459726342,1618.9990869470741,11,10,20,16,0,42.10526315778984,2254
8,944.4723204279419,1991.249827925812,74.80526315823161,0.0,14000.0,-11139.083114804478,-11139.083114804478,2935.722148353754,9,21,14,14,0,75.08771929852642,3112
9,928.3863746532849,1846.1205652023355,5.763212129750177e-13,0.0,33000.0,-30225.49306014438,-30225.49306014438,2774.50693985562,12,16,33,13,0,7.673861546209082e-13,3144
10,639.6641515325041,1943.904313825014,2.488498296315807e-13,0.0,6000.0,-3416.431534642482,-3416.431534642482,2583.568465357518,5,17,6,9,0,2.9665159217984183e-13,2428
