station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2887.7235946552296,177.22551520646164,0.0,0.0,2710.4980794487683,2710.4980794487683,2887.7235946552296,0,25,0,1,0,240.63167386126386,2802
1,1842.225379473215,1690.5741735722722,414.2546081075253,0.0,0.0,3118.544944937963,3118.544944937963,3532.7995530454873,22,12,0,0,0,572.5348889533032,2818
2,6865.500442115223,1710.615430141359,3254.9865302376356,0.0,0.0,5321.129342018944,5321.129342018944,8576.115872256581,64,15,0,10,0,3876.1743507084843,2928
3,3422.8434984200107,1237.266167629683,2043.5018581873142,0.0,0.0,2616.607807862379,2616.607807862379,4660.109666049693,38,15,0,1,0,2426.847653180612,2358
4,3403.884284267763,543.0072679134071,504.7364364834256,0.0,0.0,3442.155115697743,3442.155115697743,3946.8915521811705,28,4,0,0,0,697.2663378334651,2564
5,1789.9288554801515,1830.3419228258256,137.78947368406378,0.0,0.0,3482.4813046219133,3482.4813046219133,3620.270778305977,13,15,0,1,0,196.8421052629481,3183
6,2493.2210229918596,628.9362104532795,306.3664532330803,0.0,0.0,2815.7907802120617,2815.7907802120617,3122.1572334451394,25,6,0,0,0,440.9019147369187,2937
7,5140.896893271798,2006.0912180667701,2708.718117397868,0.0,0.0,4438.269993940698,4438.269993940698,7146.988111338568,55,18,0,4,0,3556.4721018657874,2654
8,2292.508859298345,2698.2133952838426,1269.7555808441516,0.0,0.0,3720.9666737380367,3720.9666737380367,4990.722254582188,35,25,0,3,0,1487.1382032826155,3626
9,5746.094211035839,1763.7857725715508,2470.804317926447,0.0,0.0,5039.075665680934,5039.075665680934,7509.87998360739,59,14,0,2,0,2853.849360275861,3650
10,937.8631914025781,2877.4157226778725,783.277998229958,0.0,0.0,3032.0009158504854,3032.0009158504854,3815.2789140804507,15,26,0,3,0,1121.728783320493,2838
