station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2352.500500297629,1.2564171925077977e-13,0.0,0.0,2352.500500297629,2352.500500297629,2352.500500297629,0,20,0,0,0,1.509903313490213e-13,2416
1,1083.381074308148,1954.6236444712422,234.91262473882745,0.0,2000.0,803.0920940405645,803.0920940405645,3038.0047187793903,13,15,2,4,0,239.70675993757914,2444
2,2031.353747658689,533.2769046419057,245.01052631519266,0.0,29000.0,-26680.379874014598,-26680.379874014598,2564.6306523005946,21,6,29,4,0,210.52631578894753,2496
3,764.6334091473051,324.78806794194924,4.9382720135326964e-14,0.0,15000.0,-13910.578522910746,-13910.578522910746,1089.4214770892543,13,5,15,8,0,9.237055564881302e-14,2026
4,1623.329117798006,507.3886747258239,32.602879725052986,0.0,1000.0,1098.1149127987774,1098.1149127987774,2130.71779252383,17,4,1,0,0,38.64697103578996,2204
5,267.71823023597096,1447.2627784521312,3.268851855864333e-13,0.0,0.0,1714.9810086881023,1714.9810086881023,1714.981008688102,2,12,0,0,0,3.9523939676655573e-13,2728
6,1423.280106803234,1007.4302256835182,154.10526315802124,0.0,6000.0,-3723.394930671269,-3723.394930671269,2430.710332486752,16,10,6,2,0,128.42105263168452,2552
7,697.282424867649,950.3430735526479,11.973684210593872,0.0,19000.0,-17364.348185790295,-17364.348185790295,1647.625498420297,9,12,19,18,0,42.10526315810557,2276
8,1474.4155384696098,1875.3079336877477,236.21052631592195,0.0,12000.0,-8886.487054158566,-8886.487054158566,3349.7234721573577,14,19,12,14,0,196.84210526326834,3142
9,1844.8516583633632,1011.2874319169441,2.1822543772032094e-13,0.0,36000.0,-33143.86090971969,-33143.86090971969,2856.1390902803073,19,9,36,19,0,3.304023721284466e-13,3190
10,712.518224008044,2002.9265904695162,19.519298245590676,0.0,2000.0,695.9255162319687,695.9255162319687,2715.44481447756,6,17,2,2,0,37.19298245610542,2430
