station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,130.139999999784,3465.686780438715,600.0284440030506,0.0,0.0,2995.79833643545,2995.79833643545,3595.8267804384986,1,30,0,3,0,733.1709344842106,3258
1,1923.4717585393641,713.0426773698659,144.59300001793952,0.0,0.0,2491.92143589129,2491.92143589129,2636.51443590923,22,6,0,0,0,240.31890384128343,3246
2,5588.70062842526,463.48133655614527,2163.469043545594,0.0,0.0,3888.7129214358056,3888.7129214358056,6052.181964981405,54,5,0,1,0,2259.9882436550424,3310
3,2913.1920041867074,663.2508039437778,1231.8506962134102,0.0,0.0,2344.5921119170753,2344.5921119170753,3576.442808130485,39,7,0,1,0,1625.0223596218937,2704
4,2552.7198267356175,850.1665601438746,435.91002147790925,0.0,0.0,2966.9763654015833,2966.9763654015833,3402.886386879492,23,8,0,0,0,613.3626873244051,2962
5,1928.419089759702,1724.438386859491,186.09443219116983,0.0,0.0,3466.763044428025,3466.763044428025,3652.857476619193,15,14,0,0,0,265.84918884452816,3683
6,3107.7515453238093,659.2803512650439,647.485594559972,0.0,0.0,3119.5463020288844,3119.5463020288844,3767.031896588853,30,5,0,2,0,721.4265024766441,3409
7,5338.1059367653415,1657.1480063361357,2970.63216885421,0.0,0.0,4024.621774247276,4024.621774247276,6995.2539431014775,57,17,0,9,0,3626.85132156576,3066
8,3169.0086876247265,2620.7913745723417,1581.1324655985738,0.0,0.0,4208.66759659849,4208.66759659849,5789.800062197068,49,23,0,5,0,1792.8272836413096,4214
9,7046.3170712581,3164.5087647406604,4072.6280890192525,0.0,0.0,6138.197746979533,6138.197746979533,10210.825835998761,72,27,0,8,0,4951.5600328811,4274
10,843.7399504981659,3193.127520727503,781.0500169339833,0.0,0.0,3255.817454291676,3255.817454291676,4036.867471225669,13,29,0,0,0,1192.2616403257878,3274
