period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,252
1,0.25,0.0,86.50305882753351,0.0,0.0,0.0,86.50305882753351,86.50305882753351,86.50305882753351,0,1,0,0,0,0.0,254
2,0.5,0.0,70.64787568015879,0.0,20.0,0.0,50.64787568015879,50.64787568015879,70.64787568015879,0,1,0,0,2,0.0,256
3,0.75,0.0,152.7292270738766,1.4566126083082053e-15,0.0,0.0,152.7292270738766,152.7292270738766,152.7292270738766,0,2,0,0,0,3.552713678800501e-15,255
4,1.0,0.0,174.5763341228307,0.0,0.0,0.0,174.5763341228307,174.5763341228307,174.5763341228307,0,2,0,0,0,0.0,252
5,1.25,0.0,0.0,3.9612757518625585e-15,0.0,0.0,-3.9612757518625585e-15,-3.9612757518625585e-15,0.0,0,0,0,0,0,1.2434497875801753e-14,251
6,1.5,0.0,0.0,2.7533531010703883e-15,0.0,0.0,-2.7533531010703883e-15,-2.7533531010703883e-15,0.0,0,0,0,0,0,8.881784197001252e-15,251
7,1.75,41.038370045317,0.0,2.7533531010703883e-15,0.0,0.0,41.038370045317,41.038370045317,41.038370045317,1,0,0,0,0,8.881784197001252e-15,254
8,2.0,52.845139415528,0.0,2.7533531010703883e-15,10.0,0.0,42.845139415528,42.845139415528,52.845139415528,1,0,0,0,1,8.881784197001252e-15,253
9,2.25,266.62194324803903,0.0,2.7533531010703883e-15,0.0,0.0,266.62194324803903,266.62194324803903,266.62194324803903,3,0,0,0,0,8.881784197001252e-15,253
10,2.5,0.0,0.0,2.7533531010703883e-15,10.0,0.0,-10.000000000000002,-10.000000000000002,0.0,0,0,0,0,1,8.881784197001252e-15,251
11,2.75,0.0,0.0,2.7533531010703883e-15,0.0,0.0,-2.7533531010703883e-15,-2.7533531010703883e-15,0.0,0,0,0,0,0,8.881784197001252e-15,251
12,3.0,0.0,0.0,5.506706202140776e-16,0.0,0.0,-5.506706202140776e-16,-5.506706202140776e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,252
13,3.25,49.219999999632,0.0,5.506706202140776e-16,0.0,0.0,49.219999999632,49.219999999632,49.219999999632,1,0,0,0,0,1.7763568394002505e-15,252
14,3.5,49.219999999908,73.2177968278592,5.506706202140776e-16,0.0,0.0,122.4377968277672,122.4377968277672,122.4377968277672,1,1,0,0,0,1.7763568394002505e-15,253
15,3.75,0.0,0.0,2.7533531010703883e-15,0.0,0.0,-2.7533531010703883e-15,-2.7533531010703883e-15,0.0,0,0,0,0,0,8.881784197001252e-15,253
16,4.0,45.999999999885006,0.0,2.7533531010703883e-15,0.0,0.0,45.999999999885006,45.999999999885006,45.999999999885006,1,0,0,0,0,8.881784197001252e-15,252
17,4.25,75.85130131201699,0.0,7.727152251391089e-15,0.0,0.0,75.85130131201699,75.85130131201699,75.85130131201699,1,0,0,0,0,1.5987211554602254e-14,252
18,4.5,97.75432814919999,0.0,1.000088900582341e-14,0.0,0.0,97.75432814919999,97.75432814919999,97.75432814919999,1,0,0,0,0,2.3092638912203256e-14,251
19,4.75,79.748136223248,0.0,1.497468815614411e-14,0.0,0.0,79.748136223248,79.748136223248,79.748136223248,1,0,0,0,0,3.019806626980426e-14,253
20,5.0,0.0,0.0,1.9877433032888805e-14,0.0,0.0,-1.9877433032888805e-14,-1.9877433032888805e-14,0.0,0,0,0,0,0,3.730349362740526e-14,250
21,5.25,0.0,0.0,1.9877433032888805e-14,0.0,0.0,-1.9877433032888805e-14,-1.9877433032888805e-14,0.0,0,0,0,0,0,3.730349362740526e-14,250
22,5.5,0.0,0.0,1.9877433032888805e-14,0.0,0.0,-1.9877433032888805e-14,-1.9877433032888805e-14,0.0,0,0,0,0,0,3.730349362740526e-14,250
23,5.75,0.0,0.0,1.7674750552032494e-14,0.0,0.0,-1.7674750552032494e-14,-1.7674750552032494e-14,0.0,0,0,0,0,0,3.019806626980426e-14,251
24,6.0,0.0,0.0,2.7799984536613917e-14,10.0,0.0,-10.00000000000003,-10.00000000000003,0.0,0,0,0,0,1,4.085620730620576e-14,253
25,6.25,103.57509159103199,198.11391899459778,2.5526247782181598e-14,0.0,0.0,301.6890105856298,301.6890105856298,301.6890105856298,1,2,0,0,0,3.907985046680551e-14,254
26,6.5,0.0,0.0,2.9984903449076226e-14,0.0,0.0,-2.9984903449076226e-14,-2.9984903449076226e-14,0.0,0,0,0,0,0,4.618527782440651e-14,250
27,6.75,104.75266217923,0.0,2.925659714492212e-14,0.0,0.0,104.75266217923,104.75266217923,104.75266217923,1,0,0,0,0,4.440892098500626e-14,253
