station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,260.279999999892,2352.500500297629,5.706546346573311e-13,0.0,0.0,2612.780500297521,2612.780500297521,2612.780500297521,2,20,0,0,0,6.945555242054979e-13,2508
1,1361.0420760701381,2206.1205901580734,478.97299649454186,0.0,0.0,3088.189669733673,3088.189669733673,3567.1626662282115,16,17,0,2,0,536.5507555664169,2534
2,3831.7746866121856,683.8098840626573,1230.419217901564,0.0,19000.0,-15714.834647226724,-15714.834647226724,4515.584570674843,35,7,19,3,0,1189.1295420999186,2592
3,1773.1175170733752,523.6826541743794,511.15763166416446,0.0,7000.0,-5214.3574604164105,-5214.3574604164105,2296.8001712477544,22,7,7,6,0,696.4725839131813,2100
4,1715.4666262011222,507.3886747258239,56.30701754388456,0.0,0.0,2166.548283383062,2166.548283383062,2222.8553009269463,17,4,0,0,0,80.43859649126358,2282
5,1157.157092729623,1447.2627784521312,4.412292753386277e-13,0.0,0.0,2604.419871181754,2604.419871181754,2604.4198711817544,9,12,0,0,0,4.263256414560601e-13,2842
6,1779.180858392713,1288.5796284298685,306.64278705915854,0.0,5000.0,-2238.882300236576,-2238.882300236576,3067.7604868225817,16,12,5,0,0,274.28565588263245,2642
7,1529.1411466745278,1142.50176359458,346.05778005511274,0.0,19000.0,-16674.414869786,-16674.414869786,2671.642910269108,17,14,19,16,0,678.6252737100463,2372
8,1651.120012034578,2341.482089901556,564.4140716214545,0.0,8000.0,-4571.811969685323,-4571.811969685323,3992.6021019361337,17,22,8,11,0,472.2200596845456,3252
9,3064.5213429582923,1285.3062179606172,427.9088358279662,0.0,28000.0,-24078.081274909055,-24078.081274909055,4349.8275609189095,31,12,28,16,0,923.4444540136931,3310
10,696.9268182574658,2071.176392168149,64.84853044232099,0.0,1000.0,1703.254679983294,1703.254679983294,2768.1032104256146,7,18,1,1,0,148.57760244567973,2518
