period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,250
1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,253
2,0.5,0.0,92.24586134786142,0.0,0.0,0.0,92.24586134786142,92.24586134786142,92.24586134786142,0,1,0,0,0,0.0,253
3,0.75,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,252
4,1.0,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,250
5,1.25,0.0,119.55647370370488,6.039613253960852e-16,0.0,0.0,119.55647370370488,119.55647370370488,119.55647370370488,0,1,0,0,0,1.7763568394002505e-15,253
6,1.5,0.0,0.0,3.0908609005564358e-15,0.0,0.0,-3.0908609005564358e-15,-3.0908609005564358e-15,0.0,0,0,0,0,0,5.329070518200751e-15,251
7,1.75,85.18183330259399,0.0,3.0908609005564358e-15,0.0,0.0,85.18183330259399,85.18183330259399,85.18183330259399,1,0,0,0,0,5.329070518200751e-15,251
8,2.0,0.0,0.0,7.993605777301127e-15,0.0,0.0,-7.993605777301127e-15,-7.993605777301127e-15,0.0,0,0,0,0,0,1.2434497875801753e-14,253
9,2.25,235.95858909691498,0.0,7.389644451905042e-15,0.0,0.0,235.95858909691498,235.95858909691498,235.95858909691498,3,0,0,0,0,1.0658141036401503e-14,253
10,2.5,0.0,0.0,5.506706202140776e-15,10.0,0.0,-10.000000000000005,-10.000000000000005,0.0,0,0,0,0,1,8.881784197001252e-15,253
11,2.75,0.0,0.0,5.506706202140776e-15,0.0,0.0,-5.506706202140776e-15,-5.506706202140776e-15,0.0,0,0,0,0,0,8.881784197001252e-15,250
12,3.0,119.12825323838999,109.05023250332053,6.7146288529329464e-15,0.0,0.0,228.17848574171052,228.17848574171052,228.17848574171052,1,1,0,0,0,1.2434497875801753e-14,254
13,3.25,89.356748247154,100.92699006814378,7.389644451905042e-15,0.0,0.0,190.2837383152978,190.2837383152978,190.2837383152978,1,1,0,0,0,1.0658141036401503e-14,254
14,3.5,56.12000000018399,0.0,9.201528428093297e-15,10.0,0.0,46.120000000183985,46.120000000183985,56.12000000018399,1,0,0,0,1,1.5987211554602254e-14,252
15,3.75,0.0,105.92301645595266,9.201528428093297e-15,0.0,0.0,105.92301645595266,105.92301645595266,105.92301645595266,0,1,0,0,0,1.5987211554602254e-14,251
16,4.0,0.0,0.0,1.165290086646564e-14,0.0,0.0,-1.165290086646564e-14,-1.165290086646564e-14,0.0,0,0,0,0,0,1.9539925233402755e-14,250
17,4.25,0.0,0.0,1.165290086646564e-14,0.0,0.0,-1.165290086646564e-14,-1.165290086646564e-14,0.0,0,0,0,0,0,1.9539925233402755e-14,251
18,4.5,81.71290044714999,0.0,1.6555645743210332e-14,0.0,0.0,81.71290044714999,81.71290044714999,81.71290044714999,1,0,0,0,0,2.6645352591003757e-14,253
19,4.75,64.01666666682,0.0,1.9042545318370683e-14,0.0,0.0,64.01666666682,64.01666666682,64.01666666682,1,0,0,0,0,3.019806626980426e-14,251
20,5.0,0.0,0.0,1.9042545318370683e-14,0.0,0.0,-1.9042545318370683e-14,-1.9042545318370683e-14,0.0,0,0,0,0,0,3.019806626980426e-14,250
21,5.25,0.0,0.0,2.4016344468691382e-14,0.0,0.0,-2.4016344468691382e-14,-2.4016344468691382e-14,0.0,0,0,0,0,0,3.730349362740526e-14,252
22,5.5,67.546666666468,73.68295652522114,2.2808421817899213e-14,0.0,0.0,141.22962319168914,141.22962319168914,141.22962319168914,1,1,0,0,0,3.375077994860476e-14,252
23,5.75,0.0,0.0,1.4139800441625992e-14,0.0,0.0,-1.4139800441625992e-14,-1.4139800441625992e-14,0.0,0,0,0,0,0,2.3092638912203256e-14,251
24,6.0,102.563596221612,0.0,1.3518075547835905e-14,0.0,0.0,102.563596221612,102.563596221612,102.563596221612,1,0,0,0,0,1.9539925233402755e-14,252
25,6.25,0.0,0.0,1.8420820424580596e-14,0.0,0.0,-1.8420820424580596e-14,-1.8420820424580596e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,250
26,6.5,0.0,0.0,1.8349766151004587e-14,10.0,0.0,-10.000000000000016,-10.000000000000016,0.0,0,0,0,0,1,2.6645352591003757e-14,251
27,6.75,0.0,0.0,1.8349766151004587e-14,0.0,0.0,-1.8349766151004587e-14,-1.8349766151004587e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,251
28,7.0,0.0,0.0,1.8349766151004587e-14,0.0,0.0,-1.8349766151004587e-14,-1.8349766151004587e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,254
29,7.25,0.0,226.91110203788656,2.080113858937693e-14,0.0,0.0,226.91110203788656,226.91110203788656,226.91110203788656,0,2,0,0,0,3.019806626980426e-14,255
30,7.5,0.0,106.99369080145743,2.549072064539359e-14,0.0,0.0,106.99369080145743,106.99369080145743,106.99369080145743,0,1,0,0,0,3.730349362740526e-14,254
31,7.75,0.0,97.85638104643255,2.1920243398199087e-14,0.0,0.0,97.85638104643255,97.85638104643255,97.85638104643255,0,1,0,0,0,3.197442310920451e-14,252
32,8.0,161.943449387853,0.0,3.154809746774845e-14,10.0,0.0,151.943449387853,151.943449387853,161.943449387853,2,0,0,0,1,4.263256414560601e-14,253
33,8.25,64.49203636536,0.0,1.9060308886764685e-14,0.0,0.0,64.49203636536,64.49203636536,64.49203636536,1,0,0,0,0,2.6645352591003757e-14,253
34,8.5,0.0,0.0,3.3875124927362783e-14,0.0,0.0,-3.3875124927362783e-14,-3.3875124927362783e-14,0.0,0,0,0,0,0,4.440892098500626e-14,253
35,8.75,0.0,278.9971691905307,3.566924533515703e-14,0.0,0.0,278.9971691905307,278.9971691905307,278.9971691905307,0,2,0,0,0,4.618527782440651e-14,255
36,9.0,132.66010873379,0.0,3.5491609651217005e-14,20.0,0.0,112.66010873379,112.66010873379,132.66010873379,1,0,0,0,2,4.263256414560601e-14,262
37,9.25,105.22144123134001,386.0873438627392,4.028777311759768e-14,0.0,0.0,491.3087850940792,491.3087850940792,491.3087850940792,1,3,0,0,0,4.973799150320701e-14,266
38,9.5,128.75900125699,257.9665746603253,2.899014361901209e-14,0.0,0.0,386.7255759173153,386.7255759173153,386.72557591731527,1,2,0,0,0,3.907985046680551e-14,257
39,9.75,139.21971444535,224.3181697624238,5.350386800273554e-14,0.0,0.0,363.5378842077738,363.5378842077738,363.5378842077738,2,2,0,0,0,6.039613253960852e-14,260
40,10.0,0.0,513.750997345757,2.3838708784751358e-14,10.0,0.0,503.750997345757,503.750997345757,513.750997345757,0,4,0,0,1,5.3290705182007514e-14,263
41,10.25,159.915081222598,0.0,6.181721801112871e-14,0.0,0.0,159.915081222598,159.915081222598,159.915081222598,2,0,0,0,0,1.0658141036401503e-13,257
42,10.5,164.26600933502402,82.31600961745646,5.996980689815245e-14,20.0,0.0,226.5820189524805,226.5820189524805,246.5820189524805,2,1,0,0,2,1.0302869668521453e-13,260
43,10.75,258.744300789576,291.5149058338179,5.869082997378427e-14,0.0,0.0,550.2592066233939,550.2592066233939,550.259206623394,3,3,0,0,0,1.0302869668521453e-13,265
44,11.0,174.940870548816,358.3857120979767,3.176126028847648e-14,0.0,0.0,533.3265826467926,533.3265826467926,533.3265826467928,2,4,0,0,0,6.750155989720952e-14,268
45,11.25,349.193100912502,406.98657415986867,4.746425474877469e-14,0.0,0.0,756.1796750723706,756.1796750723706,756.1796750723706,4,5,0,0,0,8.171241461241152e-14,270
46,11.5,417.1802370517609,411.7397616692689,12.173302271989277,20.0,0.0,796.7466964490405,796.7466964490405,828.9199987210297,6,4,0,0,2,18.169107868640733,275
47,11.75,264.41916741356397,724.8132668586727,20.10000000000011,0.0,0.0,969.1324342722367,969.1324342722367,989.2324342722367,3,8,0,0,0,30.00000000000019,267
48,12.0,0.0,153.7485129355949,30.600000000000055,40.0,0.0,83.14851293559492,83.14851293559492,153.7485129355949,0,2,0,1,4,90.00000000000013,268
49,12.25,70.60344780316099,277.7988680984124,25.500000000000043,0.0,0.0,322.9023159015733,322.9023159015733,348.4023159015734,1,4,0,1,0,75.0000000000001,269
50,12.5,246.46116678276,358.3478772416586,24.331412060964247,50.0,0.0,530.4776319634544,530.4776319634544,604.8090440244185,4,4,0,0,5,71.56297664989482,273
51,12.75,281.082341410518,211.2145461123187,33.90000000000008,0.0,0.0,458.3968875228366,458.3968875228366,492.29688752283664,5,3,0,0,0,105.00000000000023,263
52,13.0,190.47723564300503,156.8014779994283,29.91504025927583,40.0,0.0,277.36367338315733,277.36367338315733,347.27871364243333,4,2,0,0,4,92.25785834778958,266
53,13.25,108.412303989565,203.95958833080942,33.1445107155474,0.0,0.0,279.227381604827,279.227381604827,312.3718923203744,2,2,0,0,0,112.92503151631585,263
54,13.5,91.77531880663699,232.00531749686573,41.97136104782109,10.0,0.0,271.8092752556816,271.8092752556816,323.7806363035027,2,3,0,0,1,158.73929719947375,272
55,13.75,0.0,187.20166473755586,50.85000018993679,0.0,0.0,136.35166454761912,136.35166454761912,187.20166473755586,0,2,0,0,0,180.00000082581235,268
56,14.0,901.981026198083,796.5371215707979,61.22454558958623,20.0,0.0,1617.2936021792952,1617.2936021792952,1698.518147768881,13,8,0,0,2,142.1814394028878,285
57,14.25,176.37173297495997,394.17649050419084,71.46750134230425,0.0,0.0,499.0807221368466,499.0807221368466,570.5482234791508,2,4,0,0,0,172.47347941147373,270
58,14.5,397.5780107849591,540.0636777199481,55.586054975950574,20.0,0.0,862.0556335289566,862.0556335289566,937.6416885049073,6,5,0,0,2,129.63122976042115,273
59,14.75,307.596242723426,0.0,34.204281369513744,0.0,0.0,273.3919613539123,273.3919613539123,307.596242723426,3,0,0,0,0,89.78250950673694,267
60,15.0,656.411390531727,303.1218049685065,68.3471719445496,20.0,0.0,871.1860235556841,871.1860235556841,959.5331955002334,8,3,0,0,2,98.8568217858949,278
61,15.25,559.3917748054109,809.9823066884841,30.900000000000087,0.0,0.0,1338.4740814938953,1338.4740814938953,1369.3740814938951,5,7,0,1,0,45.000000000000114,274
