period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,251
1,0.25,0.0,66.5842640561615,0.0,0.0,0.0,66.5842640561615,66.5842640561615,66.5842640561615,0,1,0,0,0,0.0,252
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,255
3,0.75,0.0,184.3607174999094,0.0,0.0,0.0,184.3607174999094,184.3607174999094,184.3607174999094,0,2,0,0,0,0.0,253
4,1.0,0.0,155.68645704468108,2.4513724383723455e-15,0.0,0.0,155.68645704468108,155.68645704468108,155.68645704468108,0,2,0,0,0,3.552713678800501e-15,252
5,1.25,0.0,0.0,4.103384299014579e-15,0.0,0.0,-4.103384299014579e-15,-4.103384299014579e-15,0.0,0,0,0,0,0,8.881784197001252e-15,252
6,1.5,0.0,82.94420130761894,2.4513724383723455e-15,0.0,0.0,82.94420130761894,82.94420130761894,82.94420130761894,0,1,0,0,0,3.552713678800501e-15,252
7,1.75,72.881601385122,80.54483526571936,2.4513724383723455e-15,0.0,0.0,153.42643665084137,153.42643665084137,153.42643665084137,1,1,0,0,0,3.552713678800501e-15,253
8,2.0,0.0,84.09317079357477,2.4513724383723455e-15,0.0,0.0,84.09317079357477,84.09317079357477,84.09317079357477,0,1,0,0,0,3.552713678800501e-15,251
9,2.25,0.0,0.0,4.6540549192286564e-15,0.0,0.0,-4.6540549192286564e-15,-4.6540549192286564e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,250
10,2.5,0.0,0.0,4.6540549192286564e-15,0.0,0.0,-4.6540549192286564e-15,-4.6540549192286564e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,250
11,2.75,0.0,0.0,4.6540549192286564e-15,0.0,0.0,-4.6540549192286564e-15,-4.6540549192286564e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,251
12,3.0,94.300768244295,0.0,4.6540549192286564e-15,0.0,0.0,94.300768244295,94.300768244295,94.300768244295,1,0,0,0,0,1.0658141036401503e-14,252
13,3.25,84.636564352644,0.0,9.556799795973346e-15,0.0,0.0,84.636564352644,84.636564352644,84.636564352644,1,0,0,0,0,1.7763568394002505e-14,251
14,3.5,0.0,0.0,9.556799795973346e-15,0.0,0.0,-9.556799795973346e-15,-9.556799795973346e-15,0.0,0,0,0,0,0,1.7763568394002505e-14,250
15,3.75,0.0,0.0,4.6540549192286564e-15,0.0,0.0,-4.6540549192286564e-15,-4.6540549192286564e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,250
