station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,3217.7173280420907,306.65101967598713,0.0,0.0,2911.066308366105,2911.066308366105,3217.7173280420907,0,27,0,1,0,381.1542193252142,3444
1,1167.225561614332,2281.999645359319,344.097811313279,0.0,0.0,3105.127395660373,3105.127395660373,3449.225206973651,13,18,0,1,0,495.05574204021207,3452
2,5424.807046031781,916.0369939290318,1863.020981270332,0.0,0.0,4477.823058690479,4477.823058690479,6340.8440399608135,52,9,0,0,0,2569.189989859377,3510
3,3498.5827155353013,927.8663889188538,1819.4979208040975,0.0,0.0,2606.951183650058,2606.951183650058,4426.4491044541555,41,9,0,5,0,2136.9280111572557,2882
4,2422.233393663145,431.9210037404967,278.9154930756998,0.0,0.0,2575.238904327943,2575.238904327943,2854.1543974036417,24,4,0,0,0,398.4507043938567,3136
5,2036.1462852061868,1241.3540778053439,8.661693584599535e-13,0.0,0.0,3277.5003630115316,3277.5003630115316,3277.5003630115307,16,9,0,0,0,1.0720313525780512e-12,3900
6,3540.178623302212,266.30364478658043,650.001481740975,0.0,0.0,3156.480786347821,3156.480786347821,3806.482268088793,35,3,0,0,0,753.1371588923164,3618
7,5739.467461107468,1741.4434598311932,2669.6913580290184,0.0,0.0,4811.219562909634,4811.219562909634,7480.910920938661,59,17,0,4,0,3946.3769198003906,3240
8,3323.173518865629,3535.7967127447305,2162.0422055356216,0.0,0.0,4696.928026074734,4696.928026074734,6858.970231610359,37,31,0,2,0,2380.5187247497342,4452
9,5525.032888898848,4107.8052781665,3626.181816958665,0.0,0.0,6006.656350106695,6006.656350106695,9632.838167065347,58,35,0,8,0,4575.331796377212,4514
10,2788.110326943611,1402.5290710697273,937.8153627231026,0.0,0.0,3252.8240352902308,3252.8240352902308,4190.639398013338,39,14,0,3,0,1303.1211474390084,3500
