station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,193.16205391692,273.5363156258285,127.64498155035618,0.0,0.0,339.0533879923922,339.0533879923922,466.6983695427485,2,3,0,0,0,279.17363052395,730
1,385.10693574456,75.17648037696934,127.23758807771043,0.0,0.0,333.0458280438189,333.0458280438189,460.28341612152934,4,1,0,1,0,280.41811823589455,732
2,79.99999999871999,149.38751942237286,56.776315789471916,0.0,0.0,172.61120363162092,172.61120363162092,229.38751942109286,1,2,0,0,0,140.78947368420563,726
3,279.99999999552,0.0,68.16666666543117,0.0,0.0,211.83333333008883,211.83333333008883,279.99999999552,3,0,0,0,0,140.96491227957836,726
4,239.99999999616,97.78546683093184,51.78947368336841,0.0,0.0,285.9959931437234,285.9959931437234,337.78546682709185,2,1,0,1,0,120.78947368210525,728
5,199.9999999968,284.0665747374682,89.92982456067367,0.0,0.0,394.1367501735945,394.1367501735945,484.0665747342682,3,3,0,1,0,225.96491227957887,734
