station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2958.958205743449,138.95790040438686,0.0,0.0,2820.0003053390637,2820.0003053390637,2958.958205743449,0,24,0,10,0,149.41709720901818,2620
1,1179.08148363368,1001.263941823362,1.3368027938152699e-10,0.0,0.0,2180.34542545691,2180.34542545691,2180.345425457042,12,7,0,0,0,1.3681041252472703e-10,2590
2,3427.6050570113707,1239.912085583356,1192.55666222419,0.0,21000.0,-17525.039519629463,-17525.039519629463,4667.5171425947265,28,12,21,7,0,1134.0551092029684,2688
3,1682.9917922644868,795.0009581730599,564.9452911783069,0.0,16000.0,-14086.95254074076,-14086.95254074076,2477.9927504375464,20,11,16,2,0,744.6481607793336,2186
4,1961.9728454596632,986.1215635712788,460.6951596721565,0.0,0.0,2487.399249358784,2487.399249358784,2948.094409030942,20,9,0,0,0,474.06122895138486,2378
5,947.1624977801318,969.2458048329852,1.344105018389332e-10,0.0,0.0,1916.4083026129833,1916.4083026129833,1916.408302613117,8,9,0,0,0,1.0957834928444169e-10,2934
6,2578.910936729788,424.41832029944396,167.1761208549983,0.0,0.0,2836.1531361742345,2836.1531361742345,3003.329257029232,24,4,0,0,0,242.28423312308496,2724
7,3730.1176528644696,934.5499276756037,1577.9297100928209,0.0,0.0,3086.7378704472544,3086.7378704472544,4664.667580540074,42,10,0,3,0,1779.2602699762526,2430
8,1518.1394331268782,2436.0264731509264,602.5472241310464,0.0,9000.0,-5648.381317853244,-5648.381317853244,3954.1659062778044,19,23,9,8,0,571.7542657234326,3366
9,3249.453844760199,1577.0681711656666,620.2620766353857,0.0,21000.0,-16793.74006070952,-16793.74006070952,4826.522015925866,36,14,21,19,0,1381.916764662333,3428
10,687.9730800904879,2306.1606919318756,161.43057507593673,0.0,6000.0,-3167.2968030535735,-3167.2968030535735,2994.1337720223637,7,19,6,9,0,186.29677524703004,2634
