period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,251
1,0.25,0.0,68.67519422028536,0.0,0.0,0.0,68.67519422028536,68.67519422028536,68.67519422028536,0,1,0,0,0,0.0,251
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,253
3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,251
4,1.0,0.0,98.41965993695473,0.0,0.0,0.0,98.41965993695473,98.41965993695473,98.41965993695473,0,1,0,0,0,0.0,253
5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,250
6,1.5,0.0,70.42739178912254,0.0,0.0,0.0,70.42739178912254,70.42739178912254,70.42739178912254,0,1,0,0,0,0.0,253
7,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,251
8,2.0,100.22680898346,98.82028965371447,0.0,10.0,0.0,189.04709863717449,189.04709863717449,199.04709863717449,1,1,0,0,1,0.0,253
9,2.25,0.0,0.0,7.425171588693046e-15,0.0,0.0,-7.425171588693046e-15,-7.425171588693046e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,250
10,2.5,0.0,0.0,7.425171588693046e-15,0.0,0.0,-7.425171588693046e-15,-7.425171588693046e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,253
11,2.75,59.874766661083,115.02182439160632,7.425171588693046e-15,0.0,0.0,174.8965910526893,174.8965910526893,174.8965910526893,1,1,0,0,0,1.0658141036401503e-14,254
12,3.0,59.746600537567005,0.0,9.698908343125367e-15,0.0,0.0,59.746600537567,59.746600537567,59.746600537567005,1,0,0,0,0,1.7763568394002505e-14,251
13,3.25,0.0,0.0,1.2114753644709709e-14,0.0,0.0,-1.2114753644709709e-14,-1.2114753644709709e-14,0.0,0,0,0,0,0,2.4868995751603507e-14,252
14,3.5,120.17795507467301,0.0,1.2114753644709709e-14,10.0,0.0,110.17795507467301,110.17795507467301,120.17795507467301,1,0,0,0,1,2.4868995751603507e-14,253
15,3.75,0.0,121.50617319973603,1.2114753644709709e-14,0.0,0.0,121.50617319973603,121.50617319973603,121.50617319973603,0,1,0,0,0,2.4868995751603507e-14,251
16,4.0,108.35659412062199,0.0,1.334043986389588e-14,0.0,0.0,108.35659412062199,108.35659412062199,108.35659412062199,1,0,0,0,0,2.6645352591003757e-14,251
17,4.25,0.0,0.0,1.334043986389588e-14,0.0,0.0,-1.334043986389588e-14,-1.334043986389588e-14,0.0,0,0,0,0,0,2.6645352591003757e-14,251
18,4.5,64.016666666935,0.0,1.334043986389588e-14,0.0,0.0,64.016666666935,64.016666666935,64.016666666935,1,0,0,0,0,2.6645352591003757e-14,251
19,4.75,0.0,0.0,1.831423901421658e-14,0.0,0.0,-1.831423901421658e-14,-1.831423901421658e-14,0.0,0,0,0,0,0,3.375077994860476e-14,250
20,5.0,0.0,0.0,1.831423901421658e-14,0.0,0.0,-1.831423901421658e-14,-1.831423901421658e-14,0.0,0,0,0,0,0,3.375077994860476e-14,251
21,5.25,0.0,0.0,1.831423901421658e-14,0.0,0.0,-1.831423901421658e-14,-1.831423901421658e-14,0.0,0,0,0,0,0,3.375077994860476e-14,251
22,5.5,238.13654994507402,0.0,1.831423901421658e-14,0.0,0.0,238.13654994507402,238.13654994507402,238.13654994507402,2,0,0,0,0,3.375077994860476e-14,253
23,5.75,0.0,0.0,1.831423901421658e-14,0.0,0.0,-1.831423901421658e-14,-1.831423901421658e-14,0.0,0,0,0,0,0,3.375077994860476e-14,250
24,6.0,96.53389667851201,0.0,2.3003821070233242e-14,10.0,0.0,86.53389667851201,86.53389667851201,96.53389667851201,1,0,0,0,1,3.375077994860476e-14,254
25,6.25,59.59999999985101,90.1674689177074,3.288036509729863e-14,0.0,0.0,149.7674689175584,149.7674689175584,149.7674689175584,1,1,0,0,0,4.796163466380676e-14,253
26,6.5,0.0,0.0,3.536726467245899e-14,0.0,0.0,-3.536726467245899e-14,-3.536726467245899e-14,0.0,0,0,0,0,0,5.1514348342607263e-14,250
27,6.75,0.0,0.0,3.288036509729863e-14,0.0,0.0,-3.288036509729863e-14,-3.288036509729863e-14,0.0,0,0,0,0,0,4.796163466380676e-14,250
28,7.0,0.0,0.0,3.288036509729863e-14,10.0,0.0,-10.000000000000036,-10.000000000000036,0.0,0,0,0,0,1,4.796163466380676e-14,255
29,7.25,0.0,101.78232470219,2.7977620220553945e-14,0.0,0.0,101.78232470219,101.78232470219,101.78232470219,0,1,0,0,0,4.085620730620576e-14,251
30,7.5,47.99999999975999,0.0,2.7906565946977933e-14,0.0,0.0,47.99999999975996,47.99999999975996,47.99999999975999,1,0,0,0,0,4.085620730620576e-14,254
31,7.75,0.0,0.0,3.288036509729864e-14,0.0,0.0,-3.288036509729864e-14,-3.288036509729864e-14,0.0,0,0,0,0,0,4.796163466380676e-14,253
32,8.0,0.0,362.67132032141717,3.764100142689131e-14,20.0,0.0,342.67132032141717,342.67132032141717,362.67132032141717,0,3,0,0,2,4.796163466380676e-14,258
33,8.25,96.63190667055001,120.46500865017889,4.2543746303636004e-14,0.0,0.0,217.0969153207289,217.0969153207289,217.0969153207289,1,1,0,0,0,5.5067062021407764e-14,257
34,8.5,0.0,361.4821601425936,4.858335955759685e-14,0.0,0.0,361.4821601425936,361.4821601425936,361.4821601425936,0,3,0,0,0,6.217248937900877e-14,256
35,8.75,95.11011072707,133.9305502351571,5.757172516496211e-14,0.0,0.0,229.0406609622271,229.0406609622271,229.0406609622271,1,1,0,0,0,7.105427357601002e-14,255
36,9.0,0.0,0.0,5.920597345721034e-14,10.0,0.0,-10.00000000000006,-10.00000000000006,0.0,0,0,0,0,1,7.105427357601002e-14,256
37,9.25,165.85103100985998,121.61050440386926,5.725198093387007e-14,0.0,0.0,287.4615354137292,287.4615354137292,287.4615354137292,2,1,0,0,0,7.105427357601002e-14,261
38,9.5,120.926666666729,449.01490681515133,6.323830348264891e-14,10.0,0.0,559.9415734818804,559.9415734818804,569.9415734818804,1,4,0,0,1,7.105427357601002e-14,260
39,9.75,172.70737811901097,324.6815803893312,8.501643833369599e-14,0.0,0.0,497.38895850834217,497.38895850834217,497.38895850834217,2,3,0,0,0,9.592326932761353e-14,264
40,10.0,283.66109884207,334.0828222830097,1.0363265801061063e-13,0.0,0.0,617.7439211250796,617.7439211250796,617.7439211250796,3,3,0,0,0,1.6342482922482304e-13,264
41,10.25,36.023333333467995,151.90175123343653,5.4747317790315726e-14,0.0,0.0,187.92508456690453,187.92508456690453,187.92508456690453,1,2,0,0,0,1.0302869668521453e-13,262
42,10.5,70.059010802432,381.63779208796745,4.979128220838902e-14,20.0,0.0,431.69680289039945,431.69680289039945,451.69680289039945,1,4,0,0,2,9.769962616701378e-14,264
43,10.75,289.21461105460895,143.39178435302372,7.835510018594506e-14,0.0,0.0,432.6063954076327,432.6063954076327,432.6063954076327,3,1,0,0,0,1.3855583347321954e-13,261
44,11.0,204.14950421397597,383.13983769663014,6.998845947236988e-14,30.0,0.0,557.289341910606,557.289341910606,587.2893419106061,2,3,0,0,3,1.545430450278218e-13,262
45,11.25,0.0,261.7652278405789,25.538356491748445,0.0,0.0,236.2268713488305,236.2268713488305,261.7652278405789,0,3,0,0,0,38.11694998768428,268
46,11.5,231.849356357831,450.64010654302746,9.938778618745996,30.0,0.0,642.5506842821127,642.5506842821127,682.4894629008585,4,5,0,0,3,14.833997938426883,276
47,11.75,472.1909718183769,445.914002380119,4.437690501496331,0.0,0.0,913.6672836969998,913.6672836969998,918.1049741984959,6,5,0,0,0,6.623418658949781,266
