period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,250
1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,253
2,0.5,0.0,92.24586134786142,0.0,0.0,0.0,92.24586134786142,92.24586134786142,92.24586134786142,0,1,0,0,0,0.0,253
3,0.75,0.0,0.0,2.415845301584341e-15,0.0,0.0,-2.415845301584341e-15,-2.415845301584341e-15,0.0,0,0,0,0,0,7.105427357601002e-15,252
4,1.0,0.0,0.0,6.039613253960852e-16,0.0,0.0,-6.039613253960852e-16,-6.039613253960852e-16,0.0,0,0,0,0,0,1.7763568394002505e-15,250
5,1.25,0.0,119.55647370370488,3.659295089164516e-15,0.0,0.0,119.55647370370488,119.55647370370488,119.55647370370488,0,1,0,0,0,8.881784197001252e-15,253
6,1.5,85.18183330259399,0.0,4.902744876744691e-15,0.0,0.0,85.18183330259399,85.18183330259399,85.18183330259399,1,0,0,0,0,1.0658141036401503e-14,252
7,1.75,0.0,0.0,9.805489753489383e-15,0.0,0.0,-9.805489753489383e-15,-9.805489753489383e-15,0.0,0,0,0,0,0,1.7763568394002505e-14,250
8,2.0,0.0,0.0,7.993605777301127e-15,10.0,0.0,-10.000000000000007,-10.000000000000007,0.0,0,0,0,0,1,1.2434497875801753e-14,254
9,2.25,235.95858909691498,0.0,7.389644451905042e-15,0.0,0.0,235.95858909691498,235.95858909691498,235.95858909691498,3,0,0,0,0,1.0658141036401503e-14,253
10,2.5,0.0,0.0,7.318590178329032e-15,0.0,0.0,-7.318590178329032e-15,-7.318590178329032e-15,0.0,0,0,0,0,0,1.4210854715202004e-14,252
11,2.75,0.0,0.0,7.318590178329032e-15,0.0,0.0,-7.318590178329032e-15,-7.318590178329032e-15,0.0,0,0,0,0,0,1.4210854715202004e-14,250
12,3.0,119.12825323838999,109.05023250332053,6.7146288529329464e-15,10.0,0.0,218.17848574171052,218.17848574171052,228.17848574171052,1,1,0,0,1,1.2434497875801753e-14,255
13,3.25,89.356748247154,0.0,1.659117287999834e-14,0.0,0.0,89.356748247154,89.356748247154,89.356748247154,1,0,0,0,0,2.6645352591003757e-14,252
14,3.5,0.0,100.92699006814378,1.538325022920617e-14,20.0,0.0,80.92699006814378,80.92699006814378,100.92699006814378,0,1,0,0,2,2.3092638912203256e-14,253
15,3.75,0.0,105.92301645595266,1.538325022920617e-14,0.0,0.0,105.92301645595266,105.92301645595266,105.92301645595266,0,1,0,0,0,2.3092638912203256e-14,251
16,4.0,0.0,0.0,2.518873998269555e-14,0.0,0.0,-2.518873998269555e-14,-2.518873998269555e-14,0.0,0,0,0,0,0,3.730349362740526e-14,250
17,4.25,0.0,0.0,2.518873998269555e-14,0.0,0.0,-2.518873998269555e-14,-2.518873998269555e-14,0.0,0,0,0,0,0,3.730349362740526e-14,251
18,4.5,81.71290044714999,0.0,2.518873998269555e-14,0.0,0.0,81.71290044714999,81.71290044714999,81.71290044714999,1,0,0,0,0,3.730349362740526e-14,253
19,4.75,64.01666666682,0.0,3.26494387081766e-14,0.0,0.0,64.01666666682,64.01666666682,64.01666666682,1,0,0,0,0,4.796163466380676e-14,252
20,5.0,0.0,0.0,3.26494387081766e-14,0.0,0.0,-3.26494387081766e-14,-3.26494387081766e-14,0.0,0,0,0,0,0,4.796163466380676e-14,250
21,5.25,128.140000000149,0.0,3.4461322684364856e-14,0.0,0.0,128.140000000149,128.140000000149,128.140000000149,1,0,0,0,0,5.3290705182007514e-14,252
22,5.5,0.0,73.68295652522114,2.9487523534044154e-14,0.0,0.0,73.68295652522114,73.68295652522114,73.68295652522114,0,1,0,0,0,4.618527782440651e-14,251
23,5.75,0.0,0.0,2.3980817331903378e-14,0.0,0.0,-2.3980817331903378e-14,-2.3980817331903378e-14,0.0,0,0,0,0,0,3.730349362740526e-14,251
24,6.0,0.0,0.0,2.930988785010413e-14,0.0,0.0,-2.930988785010413e-14,-2.930988785010413e-14,0.0,0,0,0,0,0,4.263256414560601e-14,251
25,6.25,102.563596221612,0.0,2.930988785010413e-14,0.0,0.0,102.563596221612,102.563596221612,102.563596221612,1,0,0,0,0,4.263256414560601e-14,251
26,6.5,0.0,0.0,2.8190783041281973e-14,10.0,0.0,-10.000000000000027,-10.000000000000027,0.0,0,0,0,0,1,4.085620730620576e-14,251
27,6.75,0.0,0.0,3.421263272684882e-14,0.0,0.0,-3.421263272684882e-14,-3.421263272684882e-14,0.0,0,0,0,0,0,4.973799150320701e-14,251
28,7.0,0.0,0.0,3.421263272684882e-14,0.0,0.0,-3.421263272684882e-14,-3.421263272684882e-14,0.0,0,0,0,0,0,4.973799150320701e-14,254
29,7.25,0.0,226.91110203788656,3.421263272684882e-14,0.0,0.0,226.91110203788656,226.91110203788656,226.91110203788656,0,2,0,0,0,4.973799150320701e-14,255
30,7.5,0.0,106.99369080145743,3.906208689841151e-14,10.0,0.0,96.99369080145743,96.99369080145743,106.99369080145743,0,1,0,0,1,5.684341886080802e-14,255
31,7.75,71.039728640224,97.85638104643255,3.295141937087465e-14,0.0,0.0,168.89610968665653,168.89610968665653,168.89610968665653,1,1,0,0,0,4.796163466380676e-14,253
32,8.0,73.143788587573,0.0,4.122924224247982e-14,0.0,0.0,73.143788587573,73.143788587573,73.143788587573,1,0,0,0,0,5.5067062021407764e-14,251
33,8.25,64.49203636536,0.0,3.8369307731045406e-14,0.0,0.0,64.49203636535998,64.49203636535998,64.49203636536,1,0,0,0,0,4.973799150320701e-14,253
34,8.5,0.0,0.0,5.034195282860309e-14,10.0,0.0,-10.00000000000005,-10.00000000000005,0.0,0,0,0,0,1,6.572520305780927e-14,254
35,8.75,0.0,278.9971691905307,5.103473199596919e-14,0.0,0.0,278.9971691905307,278.9971691905307,278.9971691905307,0,2,0,0,0,6.750155989720952e-14,255
36,9.0,132.66010873379,0.0,4.712674694928864e-14,30.0,0.0,102.66010873379,102.66010873379,132.66010873379,1,0,0,0,3,5.861977570020827e-14,263
37,9.25,49.219999999769996,386.0873438627392,5.924150059399834e-14,0.0,0.0,435.30734386250924,435.30734386250924,435.3073438625092,1,3,0,0,0,7.460698725481052e-14,265
38,9.5,128.75900125699,110.88093942031689,4.668265773943858e-14,30.0,0.0,209.63994067730687,209.63994067730687,239.63994067730687,1,1,0,0,3,6.217248937900877e-14,259
39,9.75,89.99971444558,371.40380500243225,3.328892717036069e-14,0.0,0.0,461.4035194480122,461.4035194480122,461.4035194480123,1,3,0,0,0,4.263256414560601e-14,260
40,10.0,0.0,399.6546585640624,2.6769697569761772e-14,20.0,0.0,379.6546585640624,379.6546585640624,399.6546585640624,0,3,0,0,2,6.217248937900877e-14,262
41,10.25,93.918514372606,114.0963387816946,4.8725468104748876e-14,0.0,0.0,208.0148531543006,208.0148531543006,208.0148531543006,1,1,0,0,0,8.704148513061227e-14,258
42,10.5,200.28934266839104,82.31600961745646,5.044853423896712e-14,10.0,0.0,272.6053522858475,272.6053522858475,282.6053522858475,3,1,0,0,1,8.881784197001252e-14,261
43,10.75,429.866106613688,178.1020268743227,8.688161301506628e-14,0.0,0.0,607.9681334880107,607.9681334880107,607.9681334880106,4,2,0,0,0,1.3677947663381929e-13,267
44,11.0,273.52753721613396,348.3487545931589,1.872280108727864e-14,20.0,0.0,601.8762918092929,601.8762918092929,621.8762918092929,4,3,0,0,2,5.3290705182007514e-14,271
45,11.25,349.19310091250196,530.4364106241817,4.801492536898878e-14,0.0,0.0,879.6295115366838,879.6295115366838,879.6295115366836,4,7,0,0,0,8.704148513061227e-14,271
46,11.5,297.66256121192595,553.1417512284938,3.9417358266291566e-14,50.0,0.0,800.8043124404197,800.8043124404197,850.8043124404198,4,6,0,0,5,8.704148513061227e-14,279
47,11.75,347.53684325321694,634.6501400819205,1.7946328877242712,0.0,0.0,980.3923504474133,980.3923504474133,982.1869833351375,4,6,0,0,0,2.678556548842236,267
48,12.0,76.61613419141499,311.9467970739795,24.643223573273776,40.0,0.0,323.9197076921207,323.9197076921207,388.56293126539447,1,4,0,0,4,72.48006933315816,270
49,12.25,132.79011446994497,206.26015545616866,40.80000000000009,0.0,0.0,298.25026992611345,298.25026992611345,339.05026992611363,2,3,0,0,0,120.00000000000021,270
50,12.5,288.16923667103396,357.4134911115038,40.8000000000001,40.0,0.0,564.7827277825376,564.7827277825376,645.5827277825377,5,4,0,0,4,120.00000000000026,273
51,12.75,218.704682573004,283.6876448847173,32.580766651764264,0.0,0.0,469.811560805957,469.811560805957,502.3923274577213,4,4,0,0,0,95.82578426989485,264
52,13.0,262.540157926063,72.89630253163884,45.75000000000008,30.0,0.0,259.6864604577017,259.6864604577017,335.43646045770186,5,1,0,1,3,150.00000000000017,266
53,13.25,184.11897065627704,203.95958833080942,46.434518942604285,0.0,0.0,341.6440400444821,341.6440400444821,388.07855898708647,4,2,0,0,0,170.84456035757913,266
54,13.5,150.460907873278,419.2069822344216,56.671364250316934,30.0,0.0,482.9965258573826,482.9965258573826,569.6678901076996,3,5,0,0,3,200.86552976459967,277
55,13.75,0.0,0.0,64.20000000000003,0.0,0.0,-64.20000000000003,-64.20000000000003,0.0,0,0,0,0,0,240.00000000000009,265
56,14.0,832.1676928644509,796.5371215707979,79.54972151556473,40.0,0.0,1509.1550929196849,1509.1550929196849,1628.7048144352489,12,8,0,0,4,189.1292395209843,285
57,14.25,0.0,276.95918245994596,141.7873401255506,0.0,0.0,135.1718423343952,135.1718423343952,276.95918245994596,0,3,0,0,0,322.80540611031597,267
58,14.5,501.946033244704,657.2809857641929,141.76704696110426,30.0,0.0,987.4599720477934,987.4599720477934,1159.2270190088968,7,6,0,0,3,289.7269357628422,277
59,14.75,189.114836238522,0.0,136.6785293621117,0.0,0.0,52.43630687641027,52.43630687641027,189.114836238522,2,0,0,0,0,297.57989457031596,266
60,15.0,944.501642157647,303.1218049685065,160.59340530797175,30.0,0.0,1057.0300418181828,1057.0300418181828,1247.6234471261535,11,3,0,0,3,236.89544739484228,285
61,15.25,300.68462697868097,911.6805541597853,195.11640734553228,0.0,0.0,1017.2487737929349,1017.2487737929349,1212.3651811384661,3,8,0,0,0,287.1705421233343,274
