horizon,window_minutes,days,net_profit_yuan,service_income_yuan,charging_cost_yuan,adjustment_cost_yuan,reservation_failure_cost_yuan,reservation_count,actual_random_count,reservation_failures,reservation_failure_rate,reservation_completed,reservation_unfinished_at_L,reservation_unfinished_rate_at_L,reservation_unfinished_after_cleanup,random_services,random_service_rate,mean_wait_minutes_served,path_adjustments,solver_seconds_mean,solver_seconds_p95,model_wall_seconds_mean,model_wall_seconds_p95,model_wall_seconds_total,mip_gap_mean,mip_gap_max,mip_gap_target_met_fraction,completed_periods,demand_periods,cleanup_periods,cleanup_hours,time_limit_fraction,final_inventory_kwh,random_timeouts,operating_duration_hours,max_power_correction_kw,max_station_excess_kw,max_soc_balance_residual,cleanup_net_profit_yuan,actual_legs_below_pruning_threshold,selected_legs_below_pruning_threshold,demand_solver_seconds_mean,demand_solver_seconds_p95,demand_time_limit_fraction,demand_gap_met_fraction,mean_model_binary_variables,final_full_batteries,final_mean_soc,cleanup_service_income_yuan,cleanup_charging_cost_yuan,cleanup_adjustment_cost_yuan,cleanup_failure_cost_yuan,worst_mip_gap,max_cleanup_hours
4,60,7,-96706.58204079229,25555.896752494245,662.4787932865155,457.14285714285717,121142.85714285714,200.0,200.0,121.14285714285714,0.6057142857142858,78.85714285714286,17.571428571428573,0.08785714285714284,0.0,124.71428571428571,0.6235714285714286,11.936806406038547,45.714285714285715,0.09848261244764829,0.2234359741210936,0.21014410998363559,0.36198726929058983,22.78821327136081,5.165177563697556e-07,4.478405344404342e-05,1.0,108.42857142857143,96.0,12.428571428571429,3.107142857142857,0.0,7054.807273391557,75.28571428571429,24.0,0.0,0.0,1.4953154071368696e-12,-16250.119690584488,48.857142857142854,3408.0,0.11032589276631673,0.22917876924787248,0.0,1.0,2488.5714285714284,12.285714285714286,0.2821922909356623,49.88030941551002,1.3551065031996205e-13,14.285714285714286,16285.714285714286,9.104755226505434e-05,4.75
5,75,7,-83734.72794832946,28561.87853248778,1756.6064808172325,540.0,110000.0,200.0,200.0,110.0,0.55,90.0,22.0,0.10999999999999999,0.0,128.14285714285714,0.6407142857142857,11.528890879197844,54.0,0.14759861836322674,0.39539947509765616,0.2660524186764587,0.5478845328581102,30.737153999935668,1.6284092835488721e-06,8.355807406077307e-05,1.0,116.0,96.0,20.0,5.0,0.0,6609.733017315785,71.85714285714286,24.0,0.0,0.0,7.659587250178187e-13,-20147.220659644652,49.142857142857146,3403.4285714285716,0.17578866652079989,0.42017861774989534,0.0,1.0,2759.9196428571427,12.0,0.26438932069263144,185.35635962215738,31.148447838235086,15.714285714285714,20285.714285714286,9.528813935041033e-05,7.5
6,90,7,-49887.066497544365,35512.44211231491,4496.65146700216,760.0,80142.85714285714,200.0,200.0,80.14285714285714,0.40071428571428575,119.85714285714286,24.857142857142858,0.12428571428571429,0.0,140.57142857142858,0.7028571428571428,12.10356935853208,76.0,0.9009960302719032,1.5783069883074072,1.0350702101680846,1.7663708285705064,125.15279071434634,8.988848066482875e-06,0.0007487166534130431,0.9975963237893248,119.28571428571429,96.0,23.285714285714285,5.821428571428571,0.0024036762106751505,5512.716912698029,59.42857142857143,24.0,0.0,0.0,1.798001430281765e-12,-20349.438888467845,50.714285714285715,3405.8571428571427,1.1318630718049552,2.064357212611607,0.002976190476190476,0.9970238095238095,3068.9568452380954,6.0,0.22050867650792114,667.6863700291686,138.55382992558307,21.428571428571427,20857.14285714286,0.0027264736322072515,8.0
7,105,7,37180.193239191365,53174.35217051951,14154.158931328044,1411.4285714285713,428.57142857142856,200.0,200.0,0.42857142857142855,0.002142857142857143,199.57142857142858,33.857142857142854,0.1692857142857143,0.0,173.85714285714286,0.8692857142857143,12.874506516450081,141.14285714285714,15.79190772560905,120.00471412113735,15.961081211704652,120.35957455356902,2246.3515788571426,0.001630118827310965,0.03894956871947342,0.898141148330042,140.71428571428572,96.0,44.714285714285715,11.178571428571429,0.10185885166995798,4864.1828921001,26.142857142857142,24.0,0.0,0.0,5.1947048005788624e-11,3541.0869204463015,53.285714285714285,3414.1428571428573,23.08701634974707,120.00675010681152,0.1488095238095238,0.8511904761904762,3487.4241071428573,0.7142857142857143,0.19456731568400398,5554.862815208012,1682.3473233331374,188.57142857142858,142.85714285714286,0.06023418158682771,13.75
8,120,7,37639.56265639699,55799.51065852119,15315.662287838402,1987.142857142857,857.1428571428571,200.0,200.0,0.8571428571428571,0.004285714285714286,199.14285714285714,35.42857142857143,0.17714285714285713,0.0,179.14285714285714,0.8957142857142858,12.550304705874039,198.71428571428572,34.08306684173409,120.14520045689173,34.29435294928123,120.51442111786392,4859.699945814305,0.009694649723087017,0.11233273792023332,0.7337902709535362,142.28571428571428,96.0,46.285714285714285,11.571428571428571,0.26620972904646373,4735.205782452186,20.857142857142858,24.0,6.493338235356663e-08,0.0,1.0004765499575531e-11,3773.942262911221,50.142857142857146,3410.4285714285716,50.15387944380442,120.19325004305158,0.3928571428571429,0.6071428571428571,3933.449404761905,1.1428571428571428,0.18940823129808743,5934.182517605017,1753.0973975509357,264.2857142857143,142.85714285714286,0.16974940971019023,14.5
