station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2555.247397052338,2.1085355683680972e-14,0.0,0.0,2555.247397052338,2555.247397052338,2555.247397052338,0,22,0,4,0,2.6645352591003757e-14,2758
1,1529.2387128063872,1690.5741735722722,348.006460577493,0.0,0.0,2871.8064258011696,2871.8064258011696,3219.8128863786596,18,12,0,0,0,380.9781779218955,2766
2,1326.1589265191728,702.8134598635193,9.684210526364458,0.0,40000.0,-37980.71182414367,-37980.71182414367,2028.972386382692,16,7,40,18,0,42.105263158105636,2868
3,886.0857095141441,887.6220102341618,178.48602843207277,0.0,21000.0,-19404.778308683766,-19404.778308683766,1773.7077197483059,12,12,21,4,0,302.2824007317899,2312
4,2057.7381046729906,543.0072679134071,297.923293540932,0.0,0.0,2302.822079045465,2302.822079045465,2600.745372586398,23,4,0,0,0,320.86923811663206,2514
5,491.137517604682,1978.7373899313895,3.433342499192802e-13,0.0,0.0,2469.8749075360715,2469.8749075360715,2469.8749075360715,4,16,0,0,0,3.872457909892546e-13,3115
6,2763.668718732648,628.9362104532795,617.0980462278451,0.0,0.0,2775.506882958085,2775.506882958085,3392.604929185927,30,6,0,0,0,622.350333969056,2901
7,1459.0024950310599,412.20635937015504,41.41754385957718,0.0,19000.0,-17170.208689458363,-17170.208689458363,1871.208854401215,19,5,19,17,0,169.12280701726354,2580
8,956.3787478715299,2553.2914114303035,336.92105263205707,0.0,10000.0,-6827.250893330223,-6827.250893330223,3509.6701593018333,12,24,10,4,0,309.473684210895,3544
9,3189.67619211711,744.8917446310104,497.04507279325355,0.0,15000.0,-11562.477136045138,-11562.477136045138,3934.5679367481207,34,6,15,10,0,629.3568515127275,3574
10,360.05715749436,2299.0242325860604,43.14385964932637,0.0,2000.0,615.9375304310934,615.9375304310934,2659.0813900804205,3,20,2,9,0,37.19298245631585,2774
