station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,2925.8682459464985,168.07689593375287,0.0,0.0,2757.791350012745,2757.791350012745,2925.8682459464985,0,25,0,8,0,222.3715016337898,2772
1,1802.545091872877,713.0426773698659,93.0998003927397,0.0,0.0,2422.487968850004,2422.487968850004,2515.587769242743,21,6,0,0,0,178.52944533294834,2760
2,5396.490628426451,463.48133655614527,2051.778929447878,0.0,2000.0,1808.1930355347133,1808.1930355347133,5859.971964982596,50,5,2,1,0,2056.155101908339,2822
3,2622.7586708528293,518.7968534015829,988.9754999183793,0.0,0.0,2152.580024336033,2152.580024336033,3141.5555242544124,35,6,0,2,0,1306.728481963215,2300
4,2726.2322470023614,850.1665601438746,516.8021862392727,0.0,0.0,3059.596620906962,3059.596620906962,3576.398807146236,24,8,0,0,0,665.5558660624313,2524
5,1352.328237915634,1724.438386859491,4.696332212006379e-13,0.0,0.0,3076.7666247751254,3076.7666247751254,3076.766624775125,10,14,0,0,0,6.181721801112872e-13,3123
6,3034.2441405345176,784.7517025305816,734.9005521766544,0.0,0.0,3084.095290888446,3084.095290888446,3818.995843065099,31,6,0,1,0,791.0825112866361,2905
7,1127.1717825003961,965.7963165297236,145.55640015402636,0.0,26000.0,-24052.588301123906,-24052.588301123906,2092.96809903012,13,12,26,14,0,313.41593818663165,2590
8,2176.0562902598967,1771.7813058892502,322.2500000002126,0.0,11000.0,-7374.412403851065,-7374.412403851065,3947.837596149147,18,17,11,11,0,271.9298245615808,3558
9,2065.9255441800174,1702.7658135364277,397.6604029732312,0.0,27000.0,-23628.969045256785,-23628.969045256785,3768.691357716445,24,16,27,19,0,692.1843499583946,3616
10,539.6279147823041,2280.6218807496552,57.325486935642815,0.0,1000.0,1762.924308596318,1762.924308596318,2820.2497955319595,4,19,1,10,0,74.59027900842179,2774
