station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,109.253333333152,3031.334071648071,330.4232051776676,0.0,0.0,2810.1641998035593,2810.1641998035593,3140.5874049812232,1,25,0,1,0,372.0679625566321,2958
1,1569.761293357862,881.9696061553536,45.085267766339875,0.0,0.0,2406.6456317468756,2406.6456317468756,2451.7308995132157,19,6,0,0,0,104.03300301991618,2954
2,4660.853357098041,1248.931906466453,1794.053265122822,0.0,0.0,4115.731998441667,4115.731998441667,5909.785263564494,44,10,0,3,0,2043.7528578357192,3018
3,3702.2952021499,838.9090387049972,2052.210124264384,0.0,0.0,2488.994116590511,2488.994116590511,4541.204240854897,47,12,0,2,0,2565.725062484717,2498
4,2356.22901829018,674.2760144339227,308.2746015334832,0.0,0.0,2722.230431190621,2722.230431190621,3030.505032724103,23,5,0,0,0,390.6915572807461,2696
5,1587.1187172937498,1597.5855378934145,5.043432338425185e-13,0.0,0.0,3184.704255187165,3184.704255187165,3184.7042551871646,12,13,0,0,0,6.23945339839338e-13,3350
6,3280.373998362216,753.9505656433173,751.1910124655735,0.0,0.0,3283.133551539963,3283.133551539963,4034.324564005533,29,6,0,1,0,758.5457131521148,3108
7,4159.288771473002,2137.7786301947995,2431.6555230405465,0.0,0.0,3865.411878627261,3865.411878627261,6297.067401667802,45,21,0,5,0,3005.870138042434,2782
8,2211.933019434125,3249.5359865206756,1546.0420515108926,0.0,0.0,3915.426954443909,3915.426954443909,5461.469005954801,30,30,0,5,0,1792.9111107801023,3826
9,6993.618366272141,3071.7739390969414,3658.1191451362242,0.0,0.0,6407.273160232889,6407.273160232889,10065.392305369083,70,26,0,3,0,4686.048083213622,3894
10,858.1573112424701,2636.328511763872,544.2934088803943,0.0,0.0,2950.1924141259415,2950.1924141259415,3494.485823006342,15,25,0,1,0,993.2021304590666,2986
