station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,3373.2269714497515,416.8651078362886,0.0,0.0,2956.3618636134665,2956.3618636134665,3373.2269714497515,0,28,0,6,0,486.78546814484275,3390
1,1513.408150299694,1001.263941823362,22.15302836294933,0.0,0.0,2492.519063760109,2492.519063760109,2514.672092123056,16,7,0,0,0,34.081582096844976,3368
2,5334.492906616495,1366.660957722234,2221.583550252765,0.0,0.0,4479.570314085966,4479.570314085966,6701.153864338728,49,13,0,6,0,2566.9141115525313,3458
3,4075.367804811139,903.4105625868722,2235.6245026890665,0.0,0.0,2743.1538647089437,2743.1538647089437,4978.778367398011,45,12,0,1,0,2594.5102642252323,2834
4,2710.259512124824,986.1215635712788,589.104670707891,0.0,0.0,3107.2764049882107,3107.2764049882107,3696.381075696103,24,9,0,0,0,769.1431387096851,3086
5,1753.302497780107,969.2458048329852,8.944134322064195e-13,0.0,0.0,2722.548302613092,2722.548302613092,2722.5483026130923,15,9,0,0,0,1.0516032489249483e-12,3823
6,2422.466201842522,424.41832029944396,177.3005211362468,0.0,0.0,2669.5840010057204,2669.5840010057204,2846.884522141966,24,4,0,0,0,256.9572770090533,3529
7,4563.482795930641,1216.5077812505265,2184.9598746652473,0.0,0.0,3595.0307025159245,3595.0307025159245,5779.990577181168,52,12,0,1,0,2566.2668098170248,3150
8,2671.3445764928997,2845.1228849689082,1538.968479272593,0.0,0.0,3977.4989821892173,3977.4989821892173,5516.467461461808,33,26,0,5,0,1715.7779680125939,4356
9,6747.799319942361,3096.660525131008,3582.4238877520684,0.0,0.0,6262.035957321353,6262.035957321353,9844.459845073368,67,26,0,7,0,4643.024627518165,4428
10,1009.458378425304,2864.797493662452,688.629973414616,0.0,0.0,3185.6258986731345,3185.6258986731345,3874.255872087756,16,24,0,4,0,943.5228926846788,3410
